seed,fixed_interval,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,memory_busy_cycles,busy_percent
16,,threshold,50000,447,7164,516,516,525,5,776,7680,15.300000
16,30,fixed,50000,520,8335,510,510,744,3,0,8845,17.600000
16,40,fixed,50000,471,7544,474,474,1167,3,0,8018,16.000000
16,60,fixed,50000,396,6336,442,442,941,5,0,6778,13.500000
16,80,fixed,50000,341,5464,446,446,834,4,0,5910,11.800000
16,100,fixed,50000,300,4800,425,425,964,5,0,5225,10.400000
16,150,fixed,50000,230,3682,394,394,787,8,0,4076,8.100000
16,200,fixed,50000,187,2992,352,352,711,5,0,3344,6.600000
17,20,fixed,50000,582,9320,480,480,923,8,0,9800,19.600000
17,,table,50000,354,5665,451,451,806,8,1295,6116,12.200000
17,,threshold,50000,448,7181,478,478,702,8,776,7659,15.300000
17,30,fixed,50000,521,8336,476,476,1027,7,0,8812,17.600000
17,40,fixed,50000,471,7544,474,474,991,8,0,8018,16.000000
17,60,fixed,50000,396,6336,460,460,886,9,0,6796,13.500000
17,80,fixed,50000,341,5464,445,445,655,8,0,5909,11.800000
17,100,fixed,50000,300,4800,413,413,1132,8,0,5213,10.400000
17,150,fixed,50000,230,3680,406,406,791,9,0,4086,8.100000
17,200,fixed,50000,187,2992,371,371,751,7,0,3363,6.700000
18,20,fixed,50000,582,9323,469,469,1342,4,0,9792,19.500000
18,,table,50000,356,5696,487,487,544,3,1295,6183,12.300000
18,,threshold,50000,448,7168,501,501,608,3,776,7669,15.300000
18,30,fixed,50000,520,8334,515,515,477,3,0,8849,17.600000
18,40,fixed,50000,471,7547,464,464,1071,4,0,8011,16.000000
18,60,fixed,50000,396,6336,481,481,711,4,0,6817,13.600000
18,80,fixed,50000,341,5458,468,468,657,4,0,5926,11.800000
18,100,fixed,50000,300,4800,472,472,603,3,0,5272,10.500000
18,150,fixed,50000,230,3687,375,375,975,5,0,4062,8.100000
18,200,fixed,50000,187,2992,339,339,862,5,0,3331,6.600000
19,20,fixed,50000,582,9312,511,511,932,3,0,9823,19.600000
19,,table,50000,355,5680,476,476,780,4,1295,6156,12.300000
19,,threshold,50000,447,7162,486,486,909,3,776,7648,15.200000
19,30,fixed,50000,521,8336,495,495,1010,3,0,8831,17.600000
19,40,fixed,50000,471,7542,482,482,846,3,0,8024,16.000000
19,60,fixed,50000,396,6336,466,466,903,3,0,6802,13.600000
19,80,fixed,50000,341,5465,441,441,822,3,0,5906,11.800000
19,100,fixed,50000,300,4800,457,457,577,4,0,5257,10.500000
19,150,fixed,50000,230,3683,389,389,858,4,0,4072,8.100000
19,200,fixed,50000,187,2992,367,367,807,7,0,3359,6.700000
20,20,fixed,50000,582,9312,513,513,500,3,0,9825,19.600000
20,,table,50000,354,5664,455,455,808,3,1295,6119,12.200000
20,,threshold,50000,447,7152,503,503,558,3,776,7655,15.300000
20,30,fixed,50000,521,8336,487,487,860,5,0,8823,17.600000
20,40,fixed,50000,471,7540,492,492,555,6,0,8032,16.000000
20,60,fixed,50000,396,6336,477,477,688,4,0,6813,13.600000
20,80,fixed,50000,341,5466,438,438,811,5,0,5904,11.800000
20,100,fixed,50000,300,4800,461,461,470,5,0,5261,10.500000
20,150,fixed,50000,230,3681,398,398,607,5,0,4079,8.100000
20,200,fixed,50000,187,2992,364,364,822,5,0,3356,6.700000
21,20,fixed,50000,582,9320,481,481,932,4,0,9801,19.600000
21,,table,50000,354,5664,471,471,704,4,1295,6135,12.200000
21,,threshold,50000,448,7179,452,452,1303,5,776,7631,15.200000
21,30,fixed,50000,521,8336,487,487,705,5,0,8823,17.600000
21,40,fixed,50000,471,7546,468,468,968,4,0,8014,16.000000
21,60,fixed,50000,396,6336,464,464,851,6,0,6800,13.600000
21,80,fixed,50000,341,5470,422,422,1069,6,0,5892,11.700000
21,100,fixed,50000,300,4800,422,422,765,6,0,5222,10.400000
21,150,fixed,50000,230,3685,382,382,812,5,0,4067,8.100000
21,200,fixed,50000,187,2992,343,343,754,7,0,3335,6.600000
22,20,fixed,50000,582,9315,498,498,1258,4,0,9813,19.600000
22,,table,50000,353,5648,486,486,882,5,1295,6134,12.200000
22,,threshold,50000,447,7152,485,485,1150,4,776,7637,15.200000
22,30,fixed,50000,521,8336,490,490,1398,4,0,8826,17.600000
22,40,fixed,50000,471,7541,488,488,1003,5,0,8029,16.000000
22,60,fixed,50000,396,6336,474,474,1105,4,0,6810,13.600000
22,80,fixed,50000,341,5460,460,460,996,4,0,5920,11.800000
22,100,fixed,50000,300,4800,454,454,890,4,0,5254,10.500000
22,150,fixed,50000,230,3680,419,419,782,5,0,4099,8.100000
22,200,fixed,50000,187,2992,375,375,874,6,0,3367,6.700000
23,20,fixed,50000,582,9323,469,469,1536,6,0,9792,19.500000
23,,table,50000,354,5664,425,425,1305,5,1295,6089,12.100000
23,,threshold,50000,448,7180,500,500,483,4,776,7680,15.300000
23,30,fixed,50000,521,8339,466,466,1311,6,0,8805,17.600000
23,40,fixed,50000,471,7548,457,457,1308,6,0,8005,16.000000
23,60,fixed,50000,396,6336,461,461,835,5,0,6797,13.500000
23,80,fixed,50000,341,5467,434,434,1089,4,0,5901,11.800000
23,100,fixed,50000,300,4800,408,408,1052,7,0,5208,10.400000
23,150,fixed,50000,230,3686,378,378,874,6,0,4064,8.100000
23,200,fixed,50000,187,2992,337,337,922,6,0,3329,6.600000
24,20,fixed,50000,582,9323,466,466,1357,6,0,9789,19.500000
24,,table,50000,354,5664,441,441,1163,6,1295,6105,12.200000
24,,threshold,50000,448,7168,463,463,1204,5,776,7631,15.200000
24,30,fixed,50000,521,8339,464,464,1221,6,0,8803,17.600000
24,40,fixed,50000,472,7552,439,439,1358,6,0,7991,15.900000
