strategy,window_start,window_end,window_cycles,scrub_delta,corrected_delta,uncorrectable_detection_delta,read_delta,write_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,read_per_100k_cycles,write_per_100k_cycles,true_total_events,true_single_events,true_paired_events,true_cluster_events,true_shifted_events
threshold,225000,250000,25000,12,23,31,3072,23,92.0,124.0,12288.0,92.0,24,14,10,0,0
threshold,250000,275000,25000,13,22,45,3328,22,88.0,180.0,13312.0,88.0,25,22,3,0,0
threshold,275000,300000,25000,12,11,48,3072,11,44.0,192.0,12288.0,44.0,10,10,0,0,0
threshold,300000,325000,25000,13,21,64,3328,21,84.0,256.0,13312.0,84.0,26,20,6,0,0
threshold,325000,350000,25000,12,22,72,3072,22,88.0,288.0,12288.0,88.0,21,21,0,0,0
threshold,350000,375000,25000,13,10,78,3328,10,40.0,312.0,13312.0,40.0,10,6,4,0,0
threshold,375000,400000,25000,12,15,72,3072,15,60.0,288.0,12288.0,60.0,16,12,4,0,0
threshold,400000,425000,25000,13,13,78,3328,13,52.0,312.0,13312.0,52.0,13,11,2,0,0
threshold,425000,450000,25000,12,4,72,3072,4,16.0,288.0,12288.0,16.0,7,4,3,0,0
threshold,450000,475000,25000,13,15,78,3328,15,60.0,312.0,13312.0,60.0,13,12,1,0,0
threshold,475000,500000,25000,12,31,79,3072,31,124.0,316.0,12288.0,124.0,33,31,2,0,3
