event_id,event_type,time_cycle,address,fault_mask,pair_id,pair_role,cluster_id,cluster_role,cluster_interleave_depth,cluster_injection_skew,preferred_cycle,actual_cycle,cycle_shift
234,single,59534,195,0000400000,,,,,,,59534,59534,0
468,paired,59713,6,0000000004,34,first,,,,,59713,59713,0
59,single,59839,92,0000000020,,,,,,,59839,59839,0
446,paired,60320,104,0020000000,23,first,,,,,60320,60320,0
469,paired,60839,6,0200000000,34,second,,,,,60839,60839,0
273,single,60934,4,0000002000,,,,,,,60934,60934,0
209,single,61041,234,0400000000,,,,,,,61041,61041,0
447,paired,62117,104,0000000400,23,second,,,,,62117,62117,0
14,single,62263,169,0000000001,,,,,,,62263,62263,0
124,single,62364,130,0000080000,,,,,,,62364,62364,0
171,single,62921,100,0080000000,,,,,,,62921,62921,0
69,single,63057,41,0000008000,,,,,,,63057,63057,0
200,single,64064,41,0000002000,,,,,,,64064,64064,0
240,single,64267,165,0008000000,,,,,,,64267,64267,0
227,single,64851,166,0000000008,,,,,,,64851,64851,0
25,single,65343,9,0001000000,,,,,,,65343,65343,0
129,single,65516,224,0000400000,,,,,,,65516,65516,0
412,paired,66623,43,0000080000,6,first,,,,,66623,66623,0
279,single,66768,134,0080000000,,,,,,,66768,66768,0
104,single,67055,216,0000000001,,,,,,,67055,67055,0
313,single,67177,223,0000008000,,,,,,,67177,67177,0
219,single,67347,202,0100000000,,,,,,,67347,67347,0
413,paired,67783,43,0000000001,6,second,,,,,67783,67783,0
248,single,68307,157,0000000040,,,,,,,68307,68307,0
90,single,68871,21,0000000020,,,,,,,68871,68871,0
400,paired,70149,59,0000000040,0,first,,,,,70149,70149,0
464,paired,70842,211,0004000000,32,first,,,,,70842,70842,0
226,single,71505,203,0000000008,,,,,,,71505,71505,0
401,paired,71794,59,0000080000,0,second,,,,,71794,71794,0
296,single,71876,103,0400000000,,,,,,,71876,71876,0
339,single,72660,33,0002000000,,,,,,,72660,72660,0
465,paired,72702,211,0020000000,32,second,,,,,72702,72702,0
303,single,74154,97,0000100000,,,,,,,74154,74154,0
230,single,75137,80,0004000000,,,,,,,75137,75137,0
170,single,75888,133,0000004000,,,,,,,75888,75888,0
225,single,76852,135,0020000000,,,,,,,76852,76852,0
138,single,78080,191,0000000010,,,,,,,78080,78080,0
109,single,78236,240,0200000000,,,,,,,78236,78236,0
174,single,79981,94,0000000002,,,,,,,79981,79981,0
19,single,80935,76,0000020000,,,,,,,80935,80935,0
390,single,81159,27,0000020000,,,,,,,81159,81159,0
98,single,81783,231,0040000000,,,,,,,81783,81783,0
146,single,82171,37,0200000000,,,,,,,82171,82171,0
309,single,82340,202,2000000000,,,,,,,82340,82340,0
218,single,82358,109,0002000000,,,,,,,82358,82358,0
97,single,82394,218,0000000020,,,,,,,82394,82394,0
478,paired,82398,199,0000000100,39,first,,,,,82398,82398,0
350,single,82440,45,0000000004,,,,,,,82440,82440,0
113,single,82479,169,0000080000,,,,,,,82479,82479,0
149,single,82496,160,0100000000,,,,,,,82496,82496,0
136,single,82917,216,0000000040,,,,,,,82917,82917,0
38,single,83778,181,0000040000,,,,,,,83778,83778,0
164,single,83784,231,0100000000,,,,,,,83784,83784,0
479,paired,84007,199,1000000000,39,second,,,,,84007,84007,0
246,single,84025,65,0000000001,,,,,,,84025,84025,0
125,single,84097,91,0004000000,,,,,,,84097,84097,0
198,single,85522,155,0400000000,,,,,,,85522,85522,0
239,single,89626,96,0001000000,,,,,,,89626,89626,0
373,single,89984,109,0000000040,,,,,,,89984,89984,0
77,single,93718,213,4000000000,,,,,,,93718,93718,0
201,single,94384,94,1000000000,,,,,,,94384,94384,0
95,single,95068,93,0000000800,,,,,,,95068,95068,0
78,single,95664,177,0002000000,,,,,,,95664,95664,0
252,single,96032,1,0000000080,,,,,,,96032,96032,0
28,single,96945,157,0000040000,,,,,,,96945,96945,0
82,single,97072,162,0400000000,,,,,,,97072,97072,0
160,single,99341,166,0000040000,,,,,,,99341,99341,0
298,single,100728,17,0000000004,,,,,,,100728,100728,0
111,single,101123,88,0000000002,,,,,,,101123,101123,0
178,single,101317,183,0400000000,,,,,,,101317,101317,0
444,paired,101764,108,0000400000,22,first,,,,,101764,101764,0
243,single,102287,51,0000004000,,,,,,,102287,102287,0
233,single,103295,8,0000100000,,,,,,,103295,103295,0
398,single,103334,17,0000000010,,,,,,,103334,103334,0
10,single,103482,102,0000000001,,,,,,,103482,103482,0
445,paired,103747,108,0080000000,22,second,,,,,103747,103747,0
305,single,105244,180,0002000000,,,,,,,105244,105244,0
276,single,105262,169,0000800000,,,,,,,105262,105262,0
130,single,107396,48,0004000000,,,,,,,107396,107396,0
452,paired,107841,190,0000080000,26,first,,,,,107841,107841,0
232,single,109057,13,0004000000,,,,,,,109057,109057,0
453,paired,109149,190,2000000000,26,second,,,,,109149,109149,0
302,single,110362,194,0000001000,,,,,,,110362,110362,0
251,single,111518,24,0000000001,,,,,,,111518,111518,0
191,single,112918,144,0000000080,,,,,,,112918,112918,0
56,single,114227,253,0000008000,,,,,,,114227,114227,0
106,single,114588,204,0020000000,,,,,,,114588,114588,0
33,single,114967,189,0000000100,,,,,,,114967,114967,0
121,single,115307,7,0000001000,,,,,,,115307,115307,0
214,single,115338,171,0020000000,,,,,,,115338,115338,0
379,single,115854,114,0000000008,,,,,,,115854,115854,0
458,paired,118185,249,0004000000,29,first,,,,,118185,118185,0
249,single,119260,138,0000008000,,,,,,,119260,119260,0
81,single,119619,205,0000000008,,,,,,,119619,119619,0
459,paired,119665,249,0000100000,29,second,,,,,119665,119665,0
142,single,121682,241,0000000400,,,,,,,121682,121682,0
177,single,123419,68,0000004000,,,,,,,123419,123419,0
114,single,123654,207,0000008000,,,,,,,123654,123654,0
320,single,125110,207,0002000000,,,,,,,125110,125110,0
185,single,126894,13,0000008000,,,,,,,126894,126894,0
319,single,127428,255,4000000000,,,,,,,127428,127428,0
189,single,131404,55,0100000000,,,,,,,131404,131404,0
119,single,131559,92,0000000040,,,,,,,131559,131559,0
275,single,132415,184,0000000020,,,,,,,132415,132415,0
450,paired,133122,8,0100000000,25,first,,,,,133122,133122,0
333,single,133359,100,0000010000,,,,,,,133359,133359,0
236,single,133932,99,0000800000,,,,,,,133932,133932,0
451,paired,134977,8,0000004000,25,second,,,,,134977,134977,0
438,paired,135557,68,0000001000,19,first,,,,,135557,135557,0
79,single,137163,141,0000080000,,,,,,,137163,137163,0
439,paired,137649,68,2000000000,19,second,,,,,137649,137649,0
351,single,139199,242,0000004000,,,,,,,139199,139199,0
324,single,139682,186,0000000002,,,,,,,139682,139682,0
107,single,139888,97,0800000000,,,,,,,139888,139888,0
432,paired,140121,173,0000000200,16,first,,,,,140121,140121,0
71,single,140651,11,0000000040,,,,,,,140651,140651,0
456,paired,141108,232,4000000000,28,first,,,,,141108,141108,0
145,single,141156,194,0100000000,,,,,,,141156,141156,0
212,single,141847,106,0000000200,,,,,,,141847,141847,0
433,paired,143071,173,0000004000,16,second,,,,,143071,143071,0
457,paired,143325,232,0020000000,28,second,,,,,143325,143325,0
213,single,143638,57,0008000000,,,,,,,143638,143638,0
331,single,143837,137,0020000000,,,,,,,143837,143837,0
321,single,143903,45,0800000000,,,,,,,143903,143903,0
328,single,144223,236,0002000000,,,,,,,144223,144223,0
474,paired,144526,239,0040000000,37,first,,,,,144526,144526,0
54,single,145577,27,4000000000,,,,,,,145577,145577,0
382,single,145586,86,0000000200,,,,,,,145586,145586,0
115,single,145775,21,0000100000,,,,,,,145775,145775,0
475,paired,146465,239,0000000002,37,second,,,,,146465,146465,0
312,single,147917,3,0008000000,,,,,,,147917,147917,0
80,single,149151,233,0010000000,,,,,,,149151,149151,0
210,single,149369,229,2000000000,,,,,,,149369,149369,0
0,single,149694,136,0000000100,,,,,,,149694,149694,0
173,single,151156,45,0000010000,,,,,,,151156,151156,0
381,single,152360,6,0400000000,,,,,,,152360,152360,0
348,single,153680,16,4000000000,,,,,,,153680,153680,0
73,single,155262,112,0000000008,,,,,,,155262,155262,0
440,paired,157728,173,0000020000,20,first,,,,,157728,157728,0
454,paired,157754,0,0020000000,27,first,,,,,157754,157754,0
455,paired,159819,0,0000000008,27,second,,,,,159819,159819,0
441,paired,160571,173,0000800000,20,second,,,,,160571,160571,0
375,single,160711,90,2000000000,,,,,,,160711,160711,0
211,single,164604,240,0000020000,,,,,,,164604,164604,0
141,single,164696,222,0000000020,,,,,,,164696,164696,0
391,single,166446,149,4000000000,,,,,,,166446,166446,0
176,single,167839,54,0001000000,,,,,,,167839,167839,0
2,single,169448,41,0000200000,,,,,,,169448,169448,0
6,single,171330,32,0001000000,,,,,,,171330,171330,0
120,single,174945,133,0000010000,,,,,,,174945,174945,0
217,single,175558,61,0100000000,,,,,,,175558,175558,0
134,single,176895,17,0000000400,,,,,,,176895,176895,0
274,single,177885,170,0080000000,,,,,,,177885,177885,0
144,single,178598,2,0000001000,,,,,,,178598,178598,0
72,single,178983,29,0000010000,,,,,,,178983,178983,0
147,single,182175,73,0004000000,,,,,,,182175,182175,0
51,single,183596,33,1000000000,,,,,,,183596,183596,0
151,single,185890,244,0000000020,,,,,,,185890,185890,0
414,paired,186162,90,0000800000,7,first,,,,,186162,186162,0
61,single,187933,38,0000200000,,,,,,,187933,187933,0
341,single,188037,124,0002000000,,,,,,,188037,188037,0
415,paired,188779,90,0800000000,7,second,,,,,188779,188779,0
288,single,190368,242,0400000000,,,,,,,190368,190368,0
361,single,190417,203,0000000004,,,,,,,190417,190417,0
52,single,191542,32,0000004000,,,,,,,191542,191542,0
257,single,191730,26,0400000000,,,,,,,191730,191730,0
436,paired,192977,30,0000000002,18,first,,,,,192977,192977,0
437,paired,194608,30,0200000000,18,second,,,,,194608,194608,0
396,single,196248,161,0000000200,,,,,,,196248,196248,0
3,single,198370,20,0001000000,,,,,,,198370,198370,0
358,single,199997,127,0000000008,,,,,,,199997,199997,0
462,paired,200209,5,0000000100,31,first,,,,,200209,200209,0
268,single,201094,125,0001000000,,,,,,,201094,201094,0
127,single,201364,14,0000000100,,,,,,,201364,201364,0
463,paired,202777,5,0000004000,31,second,,,,,202777,202777,0
172,single,203533,208,0000020000,,,,,,,203533,203533,0
186,single,205161,92,0000000010,,,,,,,205161,205161,0
96,single,208401,156,0000000002,,,,,,,208401,208401,0
132,single,209550,215,0000800000,,,,,,,209550,209550,0
392,single,210360,180,0004000000,,,,,,,210360,210360,0
166,single,210490,47,0000040000,,,,,,,210490,210490,0
155,single,213513,145,0010000000,,,,,,,213513,213513,0
354,single,213772,4,0000080000,,,,,,,213772,213772,0
102,single,214285,49,0020000000,,,,,,,214285,214285,0
244,single,214373,120,1000000000,,,,,,,214373,214373,0
372,single,218021,126,0040000000,,,,,,,218021,218021,0
285,single,219798,75,0000000020,,,,,,,219798,219798,0
241,single,220594,174,0000000800,,,,,,,220594,220594,0
23,single,221626,177,0000000080,,,,,,,221626,221626,0
470,paired,222465,235,0000000400,35,first,,,,,222465,222465,0
471,paired,224240,235,0004000000,35,second,,,,,224240,224240,0
262,single,227739,1,0000008000,,,,,,,227739,227739,0
359,single,228862,121,0000000800,,,,,,,228862,228862,0
349,single,230073,83,0000000200,,,,,,,230073,230073,0
326,single,231520,53,0000200000,,,,,,,231520,231520,0
175,single,231773,68,0020000000,,,,,,,231773,231773,0
143,single,233277,149,0000000001,,,,,,,233277,233277,0
335,single,233326,172,0000200000,,,,,,,233326,233326,0
460,paired,234283,89,0002000000,30,first,,,,,234283,234283,0
22,single,235236,187,0200000000,,,,,,,235236,235236,0
461,paired,235992,89,0040000000,30,second,,,,,235992,235992,0
394,single,236306,83,0000001000,,,,,,,236306,236306,0
383,single,236940,5,0000000080,,,,,,,236940,236940,0
466,paired,238216,85,0800000000,33,first,,,,,238216,238216,0
467,paired,239941,85,0000080000,33,second,,,,,239941,239941,0
215,single,242833,17,0000000100,,,,,,,242833,242833,0
385,single,245039,168,0000200000,,,,,,,245039,245039,0
187,single,245054,65,0004000000,,,,,,,245054,245054,0
352,single,246133,25,0000020000,,,,,,,246133,246133,0
181,single,256250,229,0400000000,,,,,,,256250,256250,0
399,single,256483,52,0000000001,,,,,,,256483,256483,0
304,single,257302,250,0010000000,,,,,,,257302,257302,0
32,single,257348,205,0100000000,,,,,,,257348,257348,0
397,single,257406,112,0000000004,,,,,,,257406,257406,0
140,single,257437,165,0008000000,,,,,,,257437,257437,0
301,single,259998,4,0000000010,,,,,,,259998,259998,0
228,single,260098,215,4000000000,,,,,,,260098,260098,0
336,single,261672,217,0000000200,,,,,,,261672,261672,0
193,single,265932,141,0000001000,,,,,,,265932,265932,0
342,single,265941,188,0100000000,,,,,,,265941,265941,0
344,single,266678,96,0000040000,,,,,,,266678,266678,0
202,single,268594,183,0000000040,,,,,,,268594,268594,0
365,single,270138,121,0000000040,,,,,,,270138,270138,0
224,single,270998,93,0010000000,,,,,,,270998,270998,0
34,single,273151,132,0000000002,,,,,,,273151,273151,0
442,paired,274090,17,0001000000,21,first,,,,,274090,274090,0
87,single,275448,240,0000004000,,,,,,,275448,275448,0
443,paired,275696,17,0002000000,21,second,,,,,275696,275696,0
65,single,276989,66,0000001000,,,,,,,276989,276989,0
8,single,280165,215,0000000020,,,,,,,280165,280165,0
58,single,284153,35,0000000020,,,,,,,284153,284153,0
99,single,286227,91,0000200000,,,,,,,286227,286227,0
74,single,287846,153,0000000004,,,,,,,287846,287846,0
329,single,289770,104,0000400000,,,,,,,289770,289770,0
380,single,292014,221,0000800000,,,,,,,292014,292014,0
183,single,292219,80,0000800000,,,,,,,292219,292219,0
94,single,298003,138,0000001000,,,,,,,298003,298003,0
428,paired,298035,121,0000008000,14,first,,,,,298035,298035,0
429,paired,300542,121,0100000000,14,second,,,,,300542,300542,0
299,single,301853,126,0000000200,,,,,,,301853,301853,0
86,single,304895,38,0000000002,,,,,,,304895,304895,0
154,single,305217,254,0000000080,,,,,,,305217,305217,0
364,single,307568,184,0040000000,,,,,,,307568,307568,0
287,single,307980,253,0008000000,,,,,,,307980,307980,0
156,single,309374,135,0800000000,,,,,,,309374,309374,0
133,single,309992,178,0100000000,,,,,,,309992,309992,0
290,single,311110,255,0020000000,,,,,,,311110,311110,0
208,single,311900,37,0000000100,,,,,,,311900,311900,0
131,single,312057,30,0000008000,,,,,,,312057,312057,0
196,single,312282,246,0000000002,,,,,,,312282,312282,0
31,single,312525,33,0008000000,,,,,,,312525,312525,0
188,single,317889,245,0000000010,,,,,,,317889,317889,0
89,single,320239,105,0000000010,,,,,,,320239,320239,0
235,single,321567,32,0000400000,,,,,,,321567,321567,0
53,single,322575,51,0080000000,,,,,,,322575,322575,0
222,single,323747,34,0020000000,,,,,,,323747,323747,0
476,paired,331866,59,0000080000,38,first,,,,,331866,331866,0
477,paired,333909,59,0000000800,38,second,,,,,333909,333909,0
168,single,334179,44,0000020000,,,,,,,334179,334179,0
158,single,335794,190,0000100000,,,,,,,335794,335794,0
20,single,335795,17,0000000080,,,,,,,335795,335795,0
434,paired,335797,55,0000000020,17,first,,,,,335797,335797,0
254,single,335827,185,0020000000,,,,,,,335827,335827,0
122,single,335830,237,0000080000,,,,,,,335830,335830,0
269,single,335854,60,0001000000,,,,,,,335854,335854,0
338,single,335872,15,0000001000,,,,,,,335872,335872,0
410,paired,335882,174,2000000000,5,first,,,,,335882,335882,0
128,single,335937,45,0000000008,,,,,,,335937,335937,0
422,paired,337270,95,0200000000,11,first,,,,,337270,337270,0
411,paired,337386,174,0008000000,5,second,,,,,337386,337386,0
435,paired,337536,55,0040000000,17,second,,,,,337536,337536,0
404,paired,338198,190,0040000000,2,first,,,,,338198,338198,0
360,single,339807,225,0080000000,,,,,,,339807,339807,0
448,paired,339834,233,0004000000,24,first,,,,,339834,339834,0
423,paired,339955,95,0800000000,11,second,,,,,339955,339955,0
405,paired,340084,190,0000004000,2,second,,,,,340084,340084,0
449,paired,341351,233,0000000004,24,second,,,,,341351,341351,0
282,single,341710,52,0000000020,,,,,,,341710,341710,0
245,single,343412,29,0000000400,,,,,,,343412,343412,0
314,single,343415,234,0020000000,,,,,,,343415,343415,0
259,single,343424,41,0000200000,,,,,,,343424,343424,0
42,single,343653,86,0000020000,,,,,,,343653,343653,0
281,single,345444,38,4000000000,,,,,,,345444,345444,0
283,single,346700,211,0000000004,,,,,,,346700,346700,0
270,single,347949,50,2000000000,,,,,,,347949,347949,0
242,single,350448,29,0010000000,,,,,,,350448,350448,0
43,single,351038,253,0000400000,,,,,,,351038,351038,0
9,single,351956,203,0000020000,,,,,,,351956,351956,0
159,single,352126,162,0000100000,,,,,,,352126,352126,0
150,single,352450,29,2000000000,,,,,,,352450,352450,0
368,single,356044,28,0800000000,,,,,,,356044,356044,0
46,single,358208,6,0000001000,,,,,,,358208,358208,0
30,single,358861,254,0000400000,,,,,,,358861,358861,0
370,single,359000,205,0200000000,,,,,,,359000,359000,0
424,paired,360780,158,0020000000,12,first,,,,,360780,360780,0
425,paired,362546,158,0800000000,12,second,,,,,362546,362546,0
386,single,363245,51,0000008000,,,,,,,363245,363245,0
203,single,364659,136,0000010000,,,,,,,364659,364659,0
7,single,368326,149,0000002000,,,,,,,368326,368326,0
420,paired,370870,80,0000080000,10,first,,,,,370870,370870,0
416,paired,371429,207,0100000000,8,first,,,,,371429,371429,0
162,single,372008,201,0040000000,,,,,,,372008,372008,0
421,paired,372250,80,0400000000,10,second,,,,,372250,372250,0
417,paired,373313,207,0000200000,8,second,,,,,373313,373313,0
26,single,375894,0,0008000000,,,,,,,375894,375894,0
75,single,376841,206,0000000001,,,,,,,376841,376841,0
316,single,377153,231,0000400000,,,,,,,377153,377153,0
258,single,382404,24,0000000040,,,,,,,382404,382404,0
92,single,382627,202,0001000000,,,,,,,382627,382627,0
371,single,388069,125,0000020000,,,,,,,388069,388069,0
418,paired,391105,18,0200000000,9,first,,,,,391105,391105,0
419,paired,391723,18,0000000040,9,second,,,,,391723,391723,0
277,single,398895,66,0020000000,,,,,,,398895,398895,0
105,single,400522,181,0080000000,,,,,,,400522,400522,0
255,single,401961,196,0000008000,,,,,,,401961,401961,0
195,single,403001,4,0002000000,,,,,,,403001,403001,0
197,single,404959,26,0000001000,,,,,,,404959,404959,0
205,single,407076,8,0000010000,,,,,,,407076,407076,0
330,single,407457,5,0400000000,,,,,,,407457,407457,0
250,single,407648,115,0000000800,,,,,,,407648,407648,0
322,single,411999,225,0000000800,,,,,,,411999,411999,0
345,single,414290,199,0002000000,,,,,,,414290,414290,0
24,single,421353,187,0010000000,,,,,,,421353,421353,0
88,single,424795,50,0020000000,,,,,,,424795,424795,0
21,single,426507,121,0000000400,,,,,,,426507,426507,0
362,single,434181,246,0000400000,,,,,,,434181,434181,0
76,single,435826,48,0000000002,,,,,,,435826,435826,0
343,single,437549,218,0000000040,,,,,,,437549,437549,0
11,single,438686,193,0080000000,,,,,,,438686,438686,0
291,single,439977,210,0000000004,,,,,,,439977,439977,0
340,single,445711,199,0000010000,,,,,,,445711,445711,0
93,single,446783,69,0100000000,,,,,,,446783,446783,0
148,single,447942,156,0040000000,,,,,,,447942,447942,0
408,paired,448559,192,0040000000,4,first,,,,,448559,448559,0
363,single,448674,102,0000000020,,,,,,,448674,448674,0
409,paired,449279,192,0000000020,4,second,,,,,449279,449279,0
265,single,450057,166,0008000000,,,,,,,450057,450057,0
15,single,451033,8,0100000000,,,,,,,451033,451033,0
182,single,452377,231,0000010000,,,,,,,452377,452377,0
220,single,457802,78,0000001000,,,,,,,457802,457802,0
237,single,458233,187,0000000080,,,,,,,458233,458233,0
356,single,459270,202,0000010000,,,,,,,459270,459270,0
346,single,463091,81,0000008000,,,,,,,463091,463091,0
327,single,465325,116,0000000040,,,,,,,465325,465325,0
161,single,465416,130,0000080000,,,,,,,465416,465416,0
169,single,465476,61,0000000400,,,,,,,465476,465476,0
300,single,469823,152,0000000010,,,,,,,469823,469823,0
117,single,479298,77,0001000000,,,,,,,479298,479298,0
206,single,480830,121,0000000800,,,,,,,480830,480830,0
179,single,485225,55,0000000020,,,,,,,485225,485225,0
308,single,485367,89,0020000000,,,,,,,485367,485367,0
123,single,486161,105,0000000001,,,,,,,486161,486161,0
126,single,486188,178,0000100000,,,,,,,486188,486188,0
267,single,486218,128,0000100000,,,,,,,486218,486218,0
238,single,486230,217,2000000000,,,,,,,486230,486230,0
84,single,486241,172,0010000000,,,,,,,486241,486241,0
406,paired,486318,248,0000000080,3,first,,,,,486318,486318,0
334,single,486319,20,0000100000,,,,,,,486319,486319,0
426,paired,486326,181,0000001000,13,first,,,,,486326,486326,0
63,single,486329,76,0001000000,,,,,,,486329,486329,0
325,single,486334,60,0002000000,,,,,,,486334,486334,0
430,paired,486342,96,0000000400,15,first,,,,,486342,486342,0
286,single,486343,32,0080000000,,,,,,,486343,486343,0
353,single,486346,18,1000000000,,,,,,,486346,486346,0
40,single,486351,151,0000000080,,,,,,,486351,486351,0
85,single,486352,197,0000002000,,,,,,,486352,486352,0
13,single,486354,62,2000000000,,,,,,,486354,486354,0
66,single,486366,56,0000000008,,,,,,,486366,486366,0
307,single,486370,138,0000000200,,,,,,,486370,486370,0
289,single,486375,155,0800000000,,,,,,,486375,486375,0
295,single,486402,77,0008000000,,,,,,,486402,486402,0
135,single,486405,141,0020000000,,,,,,,486405,486405,0
315,single,486424,126,4000000000,,,,,,,486424,486424,0
272,single,486434,168,0000000010,,,,,,,486434,486434,0
306,single,486488,114,4000000000,,,,,,,486488,486488,0
355,single,486497,217,0000004000,,,,,,,486497,486497,0
376,single,486498,174,0001000000,,,,,,,486498,486498,0
317,single,486501,114,0000000010,,,,,,,486501,486501,0
223,single,486577,185,4000000000,,,,,,,486577,486577,0
36,single,486591,75,0000000001,,,,,,,486591,486591,0
64,single,486596,54,0000400000,,,,,,,486596,486596,0
431,paired,487070,96,0080000000,15,second,,,,,487070,487070,0
407,paired,487293,248,0000020000,3,second,,,,,487293,487293,0
427,paired,487695,181,0040000000,13,second,,,,,487695,487695,0
50,single,491871,158,0200000000,,,,,,,491871,491871,0
139,single,492396,93,0000000010,,,,,,,492396,492396,0
374,single,495017,189,1000000000,,,,,,,495017,495017,0
