fixed_interval,scenario,seed,requested_total_cycles,addr_width,window_size,event_count,paired_event_count,pair_gap_min,pair_gap_max,cluster_event_count,cluster_bit_count,control_quantization,control_source,control_policy_schedule,control_policy_level_map_output,control_delay_points,safe_interval,fixed_interval,level_intervals,threshold_levels,threshold_intervals,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
1200,upsets,8,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1200.csv,0,1200,1200,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,416,106500,466,466,2643,9,0,0,0,426882,106966,853,213,0
1200,upsets,9,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1200.csv,0,1200,1200,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,416,106500,468,468,2139,9,0,0,0,426884,106968,853,213,0
1200,upsets,10,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1200.csv,0,1200,1200,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,416,106500,468,468,2519,11,0,0,0,426884,106968,853,213,0
1244,upsets,1,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1244.csv,0,1244,1244,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,401,102735,473,473,1390,6,0,0,0,411811,103208,823,206,0
1244,upsets,2,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1244.csv,0,1244,1244,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,401,102735,471,471,2557,8,0,0,0,411809,103206,823,206,0
1244,upsets,3,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1244.csv,0,1244,1244,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,401,102735,456,456,2533,12,0,0,0,411794,103191,823,206,0
1244,upsets,4,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1244.csv,0,1244,1244,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,401,102735,467,467,2535,8,0,0,0,411805,103202,823,206,0
1244,upsets,5,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1244.csv,0,1244,1244,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,401,102734,468,468,2224,10,0,0,0,411805,103202,823,206,0
1244,upsets,6,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1244.csv,0,1244,1244,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,401,102735,460,460,3528,12,0,0,0,411798,103195,823,206,0
1244,upsets,7,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1244.csv,0,1244,1244,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,401,102735,469,469,2323,9,0,0,0,411807,103204,823,206,0
