hour_index,nu,tau_seconds,lambda,q_cycle,cycles_per_hour
43,8.61031273272,30,0.071752606106,1.29567683497e-09,120
44,8.59170403869,30,0.0715975336558,1.29008242737e-09,120
45,8.85882358775,30,0.0738235298979,1.37154780565e-09,120
46,8.97156926773,30,0.0747630772311,1.40668116399e-09,120
47,9.37012603951,30,0.0780843836626,1.53443928332e-09,120
48,9.52986398315,30,0.079415533193,1.58720216505e-09,120
49,9.38772003791,30,0.0782310003159,1.54020703241e-09,120
50,9.95222242442,30,0.0829351868701,1.73100766179e-09,120
51,10.2767371915,30,0.0856394765955,1.84573498332e-09,120
52,10.3787259444,30,0.0864893828697,1.88255178529e-09,120
53,10.6159341293,30,0.0884661177443,1.96958747209e-09,120
54,9.67109066634,30,0.0805924222195,1.63459344347e-09,120
55,9.70772446047,30,0.0808977038372,1.6470004772e-09,120
56,9.5072365076,30,0.0792269708967,1.57967388529e-09,120
57,9.42103382778,30,0.0785086152315,1.5511577583e-09,120
58,9.15015100005,30,0.0762512583338,1.46323932718e-09,120
59,9.05251527488,30,0.0754376272906,1.4321792446e-09,120
60,9.01938975133,30,0.0751615812611,1.42171698409e-09,120
61,8.89898316403,30,0.0741581930336,1.38401122737e-09,120
62,8.82149885522,30,0.0735124904602,1.3600147144e-09,120
63,8.76560704399,30,0.0730467253666,1.34283557494e-09,120
64,8.64611996501,30,0.0720509997084,1.30647576229e-09,120
65,8.59930782403,30,0.0716608985336,1.29236692194e-09,120
66,8.57850689535,30,0.0714875574612,1.2861222521e-09,120
67,8.55005905943,30,0.0712504921619,1.27760638095e-09,120
68,8.65408935059,30,0.0721174112549,1.30888530729e-09,120
69,8.76938412763,30,0.0730782010636,1.34399307493e-09,120
70,8.79661566238,30,0.0733051305198,1.35235302791e-09,120
71,8.65454560967,30,0.0721212134139,1.30902332448e-09,120
72,8.98699297533,30,0.0748916081277,1.41152198684e-09,120
73,9.27561555737,30,0.0772967963114,1.50364156923e-09,120
74,9.02049195765,30,0.0751707663138,1.42206448459e-09,120
75,9.73225474919,30,0.0811021229099,1.65533455018e-09,120
76,9.92999161739,30,0.0827499301449,1.72328301169e-09,120
77,10.2787354034,30,0.0856561283615,1.84645282365e-09,120
78,9.94084763373,30,0.0828403969477,1.72705304807e-09,120
79,9.50687369711,30,0.0792239474759,1.57955332211e-09,120
80,9.32056194418,30,0.0776713495349,1.51824911686e-09,120
81,8.89467658053,30,0.0741223048378,1.38267199174e-09,120
82,8.77786059131,30,0.0731488382609,1.346592531e-09,120
83,8.76777242565,30,0.0730647702137,1.34349910244e-09,120
84,8.74772363767,30,0.0728976969806,1.33736191472e-09,120
85,8.67698810606,30,0.0723082342172,1.31582110288e-09,120
86,8.60691160936,30,0.0717242634113,1.29465343743e-09,120
87,8.58916944358,30,0.0715764120298,1.28932137827e-09,120
88,8.56225098911,30,0.0713520915759,1.2812525763e-09,120
