replay_name,fault_seed,replay_strategy,measured_control,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
measured_table_w0p10,9,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0009/w0p10/control_levels_measured_table_w0p10.csv,table,500000,322,82542,466,466,543,4,11,0,0,330953,83008,661,166,0
measured_table_w0p25,9,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0009/w0p25/control_levels_measured_table_w0p25.csv,table,500000,331,84823,462,462,647,5,13,0,0,340085,85285,680,170,0
measured_table_w0p50,9,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0009/w0p50/control_levels_measured_table_w0p50.csv,table,500000,350,89844,464,464,421,4,14,0,0,360188,90308,720,180,0
measured_table_w0p75,9,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0009/w0p75/control_levels_measured_table_w0p75.csv,table,500000,363,93033,466,466,364,3,15,0,0,372960,93499,745,186,0
measured_table_w1p00,9,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0009/w1p00/control_levels_measured_table_w1p00.csv,table,500000,383,98077,464,464,424,4,16,0,0,393153,98541,786,197,0
measured_table_w0p00,10,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0010/w0p00/control_levels_measured_table_w0p00.csv,table,500000,312,79943,457,457,996,6,12,0,0,320541,80400,641,160,0
measured_table_w0p10,10,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0010/w0p10/control_levels_measured_table_w0p10.csv,table,500000,324,82944,467,467,601,4,15,0,0,332567,83411,665,166,0
measured_table_w0p25,10,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0010/w0p25/control_levels_measured_table_w0p25.csv,table,500000,344,88064,460,460,1238,6,14,0,0,353060,88524,706,177,0
measured_table_w0p50,10,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0010/w0p50/control_levels_measured_table_w0p50.csv,table,500000,376,96504,463,463,1007,5,11,0,0,386852,96967,773,193,0
measured_table_w0p75,10,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0010/w0p75/control_levels_measured_table_w0p75.csv,table,500000,410,105170,465,465,704,4,10,0,0,421553,105635,843,211,0
measured_table_w1p00,10,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0010/w1p00/control_levels_measured_table_w1p00.csv,table,500000,429,109824,465,465,741,4,6,0,0,440190,110289,880,220,0
