strategy,window_start,window_end,window_cycles,scrub_delta,corrected_delta,uncorrectable_detection_delta,read_delta,write_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,read_per_100k_cycles,write_per_100k_cycles,true_total_events,true_single_events,true_paired_events,true_cluster_events,true_shifted_events
threshold,200000,225000,25000,12,20,24,3072,20,80.0,96.0,12288.0,80.0,20,16,4,0,0
threshold,225000,250000,25000,12,19,16,3072,19,76.0,64.0,12288.0,76.0,18,14,4,0,0
threshold,250000,275000,25000,13,16,13,3328,16,64.0,52.0,13312.0,64.0,17,16,1,0,0
threshold,275000,300000,25000,12,13,12,3072,13,52.0,48.0,12288.0,52.0,12,10,2,0,0
threshold,300000,325000,25000,13,16,13,3328,16,64.0,52.0,13312.0,64.0,18,17,1,0,0
threshold,325000,350000,25000,12,29,12,3072,29,116.0,48.0,12288.0,116.0,29,17,12,0,0
threshold,350000,375000,25000,13,20,13,3328,20,80.0,52.0,13312.0,80.0,19,13,6,0,0
threshold,375000,400000,25000,12,6,15,3072,6,24.0,60.0,12288.0,24.0,9,7,2,0,0
threshold,400000,425000,25000,13,11,26,3328,11,44.0,104.0,13312.0,44.0,11,11,0,0,0
threshold,425000,450000,25000,12,10,24,3072,10,40.0,96.0,12288.0,40.0,12,10,2,0,0
threshold,450000,475000,25000,13,12,39,3328,12,48.0,156.0,13312.0,48.0,11,11,0,0,0
threshold,475000,500000,25000,12,34,49,3072,34,136.0,196.0,12288.0,136.0,40,34,6,0,0
