comparison,lhs_depth,lhs_interval,rhs_depth,rhs_interval,metric,n,delta_mean,delta_std,ci95_low,ci95_high
D3 - D2 at interval 1244,3,1244,2,1244,unique_uncorrectable_words,10,-18.400000,1.074968,-19.066272,-17.733728
D3 - D2 at interval 1244,3,1244,2,1244,final_sdc_words,10,-0.700000,0.674949,-1.118337,-0.281663
D3 - D2 at interval 1244,3,1244,2,1244,final_dangerous_words,10,-19.100000,0.875595,-19.642699,-18.557301
D3 - D2 at interval 1244,3,1244,2,1244,new_due_count,10,-19.200000,0.918937,-19.769563,-18.630437
D3 - D2 at interval 1244,3,1244,2,1244,repeated_due_detections,10,-405.900000,51.604156,-437.884587,-373.915413
D3 - D1 at interval 1555,3,1555,1,1555,corrected,10,45.600000,2.913570,43.794151,47.405849
D3 - D1 at interval 1555,3,1555,1,1555,uncorrectable_detections,10,-118.100000,46.010748,-146.617757,-89.582243
D3 - D1 at interval 1555,3,1555,1,1555,unique_uncorrectable_words,10,-6.000000,2.708013,-7.678444,-4.321556
D3 - D1 at interval 1555,3,1555,1,1555,final_sdc_words,10,-13.200000,3.047768,-15.089026,-11.310974
D3 - D1 at interval 1555,3,1555,1,1555,final_dangerous_words,10,-19.200000,0.918937,-19.769563,-18.630437
D3 - D1 at interval 1555,3,1555,1,1555,new_due_count,10,-5.900000,2.514403,-7.458443,-4.341557
D3 - D1 at interval 1555,3,1555,1,1555,repeated_due_detections,10,-112.200000,43.634339,-139.244844,-85.155156
D3 - D2 at interval 1555,3,1555,2,1555,corrected,10,39.600000,1.577621,38.622180,40.577820
D3 - D2 at interval 1555,3,1555,2,1555,uncorrectable_detections,10,-339.100000,41.377530,-364.746059,-313.453941
D3 - D2 at interval 1555,3,1555,2,1555,unique_uncorrectable_words,10,-18.400000,1.074968,-19.066272,-17.733728
D3 - D2 at interval 1555,3,1555,2,1555,final_sdc_words,10,-0.700000,0.674949,-1.118337,-0.281663
D3 - D2 at interval 1555,3,1555,2,1555,final_dangerous_words,10,-19.100000,0.875595,-19.642699,-18.557301
D3 - D2 at interval 1555,3,1555,2,1555,new_due_count,10,-18.800000,1.135292,-19.503662,-18.096338
D3 - D2 at interval 1555,3,1555,2,1555,repeated_due_detections,10,-320.300000,40.844012,-345.615381,-294.984619
D3 - D1 at interval 2021,3,2021,1,2021,corrected,10,44.800000,4.077036,42.273027,47.326973
D3 - D1 at interval 2021,3,2021,1,2021,uncorrectable_detections,10,-84.100000,43.195807,-110.873039,-57.326961
D3 - D1 at interval 2021,3,2021,1,2021,unique_uncorrectable_words,10,-5.600000,3.134042,-7.542500,-3.657500
D3 - D1 at interval 2021,3,2021,1,2021,final_sdc_words,10,-13.100000,3.034981,-14.981101,-11.218899
D3 - D1 at interval 2021,3,2021,1,2021,final_dangerous_words,10,-18.700000,1.888562,-19.870543,-17.529457
D3 - D1 at interval 2021,3,2021,1,2021,new_due_count,10,-5.500000,3.064129,-7.399167,-3.600833
D3 - D1 at interval 2021,3,2021,1,2021,repeated_due_detections,10,-78.600000,40.307705,-103.582975,-53.617025
D3 - D2 at interval 2021,3,2021,2,2021,corrected,10,39.000000,2.309401,37.568618,40.431382
D3 - D2 at interval 2021,3,2021,2,2021,uncorrectable_detections,10,-254.300000,39.482908,-278.771760,-229.828240
D3 - D2 at interval 2021,3,2021,2,2021,unique_uncorrectable_words,10,-18.000000,1.763834,-19.093236,-16.906764
D3 - D2 at interval 2021,3,2021,2,2021,final_sdc_words,10,-0.700000,0.674949,-1.118337,-0.281663
D3 - D2 at interval 2021,3,2021,2,2021,final_dangerous_words,10,-18.700000,1.567021,-19.671250,-17.728750
D3 - D2 at interval 2021,3,2021,2,2021,new_due_count,10,-18.400000,1.837873,-19.539126,-17.260874
D3 - D2 at interval 2021,3,2021,2,2021,repeated_due_detections,10,-235.900000,38.202530,-259.578174,-212.221826
D3 - D1 at interval 2400,3,2400,1,2400,corrected,10,43.300000,3.497618,41.132154,45.467846
D3 - D1 at interval 2400,3,2400,1,2400,uncorrectable_detections,10,-72.500000,30.295764,-91.277509,-53.722491
D3 - D1 at interval 2400,3,2400,1,2400,unique_uncorrectable_words,10,-5.600000,2.756810,-7.308688,-3.891312
D3 - D1 at interval 2400,3,2400,1,2400,final_sdc_words,10,-13.200000,3.047768,-15.089026,-11.310974
D3 - D1 at interval 2400,3,2400,1,2400,final_dangerous_words,10,-18.800000,1.619328,-19.803670,-17.796330
D3 - D1 at interval 2400,3,2400,1,2400,new_due_count,10,-5.400000,2.458545,-6.923822,-3.876178
D3 - D1 at interval 2400,3,2400,1,2400,repeated_due_detections,10,-67.100000,27.993849,-84.450767,-49.749233
D3 - D2 at interval 2400,3,2400,2,2400,corrected,10,37.600000,2.319004,36.162667,39.037333
D3 - D2 at interval 2400,3,2400,2,2400,uncorrectable_detections,10,-214.500000,28.531659,-232.184105,-196.815895
D3 - D2 at interval 2400,3,2400,2,2400,unique_uncorrectable_words,10,-18.000000,1.763834,-19.093236,-16.906764
D3 - D2 at interval 2400,3,2400,2,2400,final_sdc_words,10,-0.700000,0.674949,-1.118337,-0.281663
D3 - D2 at interval 2400,3,2400,2,2400,final_dangerous_words,10,-18.700000,1.567021,-19.671250,-17.728750
D3 - D2 at interval 2400,3,2400,2,2400,new_due_count,10,-17.700000,2.002776,-18.941333,-16.458667
D3 - D2 at interval 2400,3,2400,2,2400,repeated_due_detections,10,-196.800000,27.291838,-213.715657,-179.884343
D1 slowest - fastest,1,2400,1,1089,corrected,10,-0.700000,0.823273,-1.210270,-0.189730
D1 slowest - fastest,1,2400,1,1089,uncorrectable_detections,10,-93.700000,35.963098,-115.990159,-71.409841
D1 slowest - fastest,1,2400,1,1089,unique_uncorrectable_words,10,0.000000,0.000000,0.000000,0.000000
D1 slowest - fastest,1,2400,1,1089,final_sdc_words,10,0.000000,0.000000,0.000000,0.000000
D1 slowest - fastest,1,2400,1,1089,final_dangerous_words,10,0.000000,0.000000,0.000000,0.000000
D1 slowest - fastest,1,2400,1,1089,new_due_count,10,-0.200000,0.421637,-0.461333,0.061333
D1 slowest - fastest,1,2400,1,1089,repeated_due_detections,10,-93.500000,35.712587,-115.634891,-71.365109
D2 slowest - fastest,2,2400,2,1089,corrected,10,-0.900000,0.737865,-1.357333,-0.442667
D2 slowest - fastest,2,2400,2,1089,uncorrectable_detections,10,-268.000000,32.561054,-288.181550,-247.818450
D2 slowest - fastest,2,2400,2,1089,unique_uncorrectable_words,10,0.000000,0.000000,0.000000,0.000000
D2 slowest - fastest,2,2400,2,1089,final_sdc_words,10,0.000000,0.000000,0.000000,0.000000
D2 slowest - fastest,2,2400,2,1089,final_dangerous_words,10,0.000000,0.000000,0.000000,0.000000
D2 slowest - fastest,2,2400,2,1089,new_due_count,10,-1.000000,1.054093,-1.653333,-0.346667
D2 slowest - fastest,2,2400,2,1089,repeated_due_detections,10,-267.000000,32.954514,-287.425419,-246.574581
D3 slowest - fastest,3,2400,3,1089,corrected,10,-3.500000,3.205897,-5.487036,-1.512964
D3 slowest - fastest,3,2400,3,1089,uncorrectable_detections,10,4.000000,9.660918,-1.987899,9.987899
D3 slowest - fastest,3,2400,3,1089,unique_uncorrectable_words,10,0.400000,0.843274,-0.122667,0.922667
D3 slowest - fastest,3,2400,3,1089,final_sdc_words,10,0.000000,0.000000,0.000000,0.000000
D3 slowest - fastest,3,2400,3,1089,final_dangerous_words,10,0.400000,0.843274,-0.122667,0.922667
D3 slowest - fastest,3,2400,3,1089,new_due_count,10,0.400000,0.843274,-0.122667,0.922667
D3 slowest - fastest,3,2400,3,1089,repeated_due_detections,10,3.600000,8.934328,-1.937554,9.137554
