seed,interleave_depth,fixed_interval,requested_total_cycles,event_count,paired_event_count,cluster_event_count,cluster_bit_count,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
10,1,2021,500000,400,40,30,3,fixed,500000,247,63232,460,460,2365,22,0,0,0,253635,63692,507,127,0
10,1,2021,500000,400,40,30,3,table,500000,276,70656,472,472,1748,14,1295,0,0,283372,71128,566,142,0
10,1,2021,500000,400,40,30,3,threshold,500000,248,63488,468,468,1911,18,42,0,0,254668,63956,509,127,0
1,1,2400,500000,400,40,30,3,fixed,500000,207,53244,487,487,997,7,0,0,0,213669,53731,427,107,0
1,1,2400,500000,400,40,30,3,table,500000,276,70656,480,480,1680,9,1295,0,0,283380,71136,566,142,0
1,1,2400,500000,400,40,30,3,threshold,500000,248,63488,491,491,1334,6,42,0,0,254691,63979,509,127,0
2,1,2400,500000,400,40,30,3,fixed,500000,207,53244,454,454,2707,16,0,0,0,213636,53698,427,107,0
2,1,2400,500000,400,40,30,3,table,500000,276,70656,470,470,2185,12,1295,0,0,283370,71126,566,142,0
2,1,2400,500000,400,40,30,3,threshold,500000,248,63488,473,473,2080,12,42,0,0,254673,63961,509,127,0
3,1,2400,500000,400,40,30,3,fixed,500000,207,53244,456,456,1772,20,0,0,0,213636,53700,427,107,0
3,1,2400,500000,400,40,30,3,table,500000,276,70656,470,470,1761,16,1295,0,0,283370,71126,566,142,0
3,1,2400,500000,400,40,30,3,threshold,500000,248,63488,472,472,1419,15,42,0,0,254672,63960,509,127,0
4,1,2400,500000,400,40,30,3,fixed,500000,207,53244,463,463,1836,14,0,0,0,213644,53707,427,107,0
4,1,2400,500000,400,40,30,3,table,500000,276,70656,466,466,2378,14,1295,0,0,283366,71122,566,142,0
4,1,2400,500000,400,40,30,3,threshold,500000,248,63488,476,476,1688,13,42,0,0,254676,63964,509,127,0
5,1,2400,500000,400,40,30,3,fixed,500000,207,53244,459,459,2316,19,0,0,0,213640,53703,427,107,0
5,1,2400,500000,400,40,30,3,table,500000,276,70656,482,482,1988,12,1295,0,0,283382,71138,566,142,0
5,1,2400,500000,400,40,30,3,threshold,500000,248,63488,473,473,2157,16,42,0,0,254673,63961,509,127,0
6,1,2400,500000,400,40,30,3,fixed,500000,207,53244,461,461,1935,13,0,0,0,213643,53705,427,107,0
6,1,2400,500000,400,40,30,3,table,500000,276,70656,487,487,1694,9,1295,0,0,283387,71143,566,142,0
6,1,2400,500000,400,40,30,3,threshold,500000,248,63488,473,473,1963,10,42,0,0,254673,63961,509,127,0
7,1,2400,500000,400,40,30,3,fixed,500000,207,53244,475,475,1950,10,0,0,0,213657,53719,427,107,0
7,1,2400,500000,400,40,30,3,table,500000,276,70656,493,493,1767,8,1295,0,0,283393,71149,566,142,0
7,1,2400,500000,400,40,30,3,threshold,500000,248,63488,485,485,2127,10,42,0,0,254685,63973,509,127,0
8,1,2400,500000,400,40,30,3,fixed,500000,207,53244,459,459,2116,13,0,0,0,213640,53703,427,107,0
8,1,2400,500000,400,40,30,3,table,500000,276,70656,464,464,2429,12,1295,0,0,283364,71120,566,142,0
8,1,2400,500000,400,40,30,3,threshold,500000,248,63488,462,462,2453,14,42,0,0,254662,63950,509,127,0
9,1,2400,500000,400,40,30,3,fixed,500000,207,53244,455,455,1748,18,0,0,0,213637,53699,427,107,0
9,1,2400,500000,400,40,30,3,table,500000,276,70656,481,481,1063,11,1295,0,0,283381,71137,566,142,0
9,1,2400,500000,400,40,30,3,threshold,500000,248,63488,481,481,964,11,42,0,0,254681,63969,509,127,0
10,1,2400,500000,400,40,30,3,fixed,500000,207,53244,446,446,2392,22,0,0,0,213628,53690,427,107,0
10,1,2400,500000,400,40,30,3,table,500000,276,70656,472,472,1748,14,1295,0,0,283372,71128,566,142,0
10,1,2400,500000,400,40,30,3,threshold,500000,248,63488,468,468,1911,18,42,0,0,254668,63956,509,127,0
1,2,1089,500000,400,40,30,3,fixed,500000,458,117400,502,502,4899,15,0,0,0,470559,117902,941,235,0
1,2,1089,500000,400,40,30,3,table,500000,276,70656,483,483,3737,19,1295,0,0,283383,71139,566,142,0
1,2,1089,500000,400,40,30,3,threshold,500000,248,63488,494,494,3017,15,42,0,0,254694,63982,509,127,0
2,2,1089,500000,400,40,30,3,fixed,500000,458,117400,497,497,4314,12,0,0,0,470554,117897,941,235,0
2,2,1089,500000,400,40,30,3,table,500000,276,70656,483,483,3094,15,1295,0,0,283383,71139,566,142,0
2,2,1089,500000,400,40,30,3,threshold,500000,248,63488,484,484,3036,15,42,0,0,254684,63972,509,127,0
3,2,1089,500000,400,40,30,3,fixed,500000,458,117400,487,487,5561,22,0,0,0,470544,117887,941,235,0
3,2,1089,500000,400,40,30,3,table,500000,276,70656,475,475,3748,24,1295,0,0,283375,71131,566,142,0
3,2,1089,500000,400,40,30,3,threshold,500000,248,63488,475,475,3409,25,42,0,0,254675,63963,509,127,0
4,2,1089,500000,400,40,30,3,fixed,500000,458,117400,493,493,5776,16,0,0,0,470550,117893,941,235,0
4,2,1089,500000,400,40,30,3,table,500000,276,70656,473,473,4077,19,1295,0,0,283373,71129,566,142,0
4,2,1089,500000,400,40,30,3,threshold,500000,248,63488,480,480,3442,20,42,0,0,254680,63968,509,127,0
5,2,1089,500000,400,40,30,3,fixed,500000,458,117400,502,502,4876,17,0,0,0,470558,117902,941,235,0
5,2,1089,500000,400,40,30,3,table,500000,276,70656,494,494,3176,18,1295,0,0,283394,71150,566,142,0
5,2,1089,500000,400,40,30,3,threshold,500000,248,63488,483,483,3407,22,42,0,0,254683,63971,509,127,0
6,2,1089,500000,400,40,30,3,fixed,500000,458,117400,494,494,6883,21,0,0,0,470551,117894,941,235,0
6,2,1089,500000,400,40,30,3,table,500000,276,70656,489,489,4541,22,1295,0,0,283389,71145,566,142,0
6,2,1089,500000,400,40,30,3,threshold,500000,248,63488,477,477,4371,22,42,0,0,254677,63965,509,127,0
7,2,1089,500000,400,40,30,3,fixed,500000,458,117400,499,499,6302,21,0,0,0,470556,117899,941,235,0
7,2,1089,500000,400,40,30,3,table,500000,276,70656,496,496,4001,22,1295,0,0,283396,71152,566,142,0
7,2,1089,500000,400,40,30,3,threshold,500000,248,63488,488,488,4158,24,42,0,0,254688,63976,509,127,0
8,2,1089,500000,400,40,30,3,fixed,500000,458,117400,491,491,6425,18,0,0,0,470548,117891,941,235,0
8,2,1089,500000,400,40,30,3,table,500000,276,70656,478,478,4358,20,1295,0,0,283378,71134,566,142,0
8,2,1089,500000,400,40,30,3,threshold,500000,248,63488,478,478,3778,20,42,0,0,254678,63966,509,127,0
9,2,1089,500000,400,40,30,3,fixed,500000,458,117400,487,487,5591,26,0,0,0,470544,117887,941,235,0
9,2,1089,500000,400,40,30,3,table,500000,276,70656,478,478,3633,28,1295,0,0,283378,71134,566,142,0
9,2,1089,500000,400,40,30,3,threshold,500000,248,63488,480,480,3255,28,42,0,0,254680,63968,509,127,0
10,2,1089,500000,400,40,30,3,fixed,500000,458,117400,498,498,4722,20,0,0,0,470555,117898,941,235,0
10,2,1089,500000,400,40,30,3,table,500000,276,70656,482,482,3502,22,1295,0,0,283382,71138,566,142,0
10,2,1089,500000,400,40,30,3,threshold,500000,248,63488,478,478,3445,25,42,0,0,254678,63966,509,127,0
1,2,1244,500000,400,40,30,3,fixed,500000,401,102735,498,498,4315,16,0,0,0,411836,103233,823,206,0
1,2,1244,500000,400,40,30,3,table,500000,276,70656,483,483,3737,19,1295,0,0,283383,71139,566,142,0
1,2,1244,500000,400,40,30,3,threshold,500000,248,63488,494,494,3017,15,42,0,0,254694,63982,509,127,0
2,2,1244,500000,400,40,30,3,fixed,500000,401,102735,494,494,4133,12,0,0,0,411832,103229,823,206,0
2,2,1244,500000,400,40,30,3,table,500000,276,70656,483,483,3094,15,1295,0,0,283383,71139,566,142,0
2,2,1244,500000,400,40,30,3,threshold,500000,248,63488,484,484,3036,15,42,0,0,254684,63972,509,127,0
3,2,1244,500000,400,40,30,3,fixed,500000,401,102735,480,480,5295,24,0,0,0,411818,103215,823,206,0
3,2,1244,500000,400,40,30,3,table,500000,276,70656,475,475,3748,24,1295,0,0,283375,71131,566,142,0
3,2,1244,500000,400,40,30,3,threshold,500000,248,63488,475,475,3409,25,42,0,0,254675,63963,509,127,0
4,2,1244,500000,400,40,30,3,fixed,500000,401,102735,489,489,5506,18,0,0,0,411827,103224,823,206,0
4,2,1244,500000,400,40,30,3,table,500000,276,70656,473,473,4077,19,1295,0,0,283373,71129,566,142,0
4,2,1244,500000,400,40,30,3,threshold,500000,248,63488,480,480,3442,20,42,0,0,254680,63968,509,127,0
5,2,1244,500000,400,40,30,3,fixed,500000,401,102734,496,496,4627,18,0,0,0,411833,103230,823,206,0
5,2,1244,500000,400,40,30,3,table,500000,276,70656,494,494,3176,18,1295,0,0,283394,71150,566,142,0
5,2,1244,500000,400,40,30,3,threshold,500000,248,63488,483,483,3407,22,42,0,0,254683,63971,509,127,0
6,2,1244,500000,400,40,30,3,fixed,500000,401,102735,486,486,6663,23,0,0,0,411824,103221,823,206,0
6,2,1244,500000,400,40,30,3,table,500000,276,70656,489,489,4541,22,1295,0,0,283389,71145,566,142,0
6,2,1244,500000,400,40,30,3,threshold,500000,248,63488,477,477,4371,22,42,0,0,254677,63965,509,127,0
7,2,1244,500000,400,40,30,3,fixed,500000,401,102735,493,493,5911,22,0,0,0,411831,103228,823,206,0
7,2,1244,500000,400,40,30,3,table,500000,276,70656,496,496,4001,22,1295,0,0,283396,71152,566,142,0
7,2,1244,500000,400,40,30,3,threshold,500000,248,63488,488,488,4158,24,42,0,0,254688,63976,509,127,0
8,2,1244,500000,400,40,30,3,fixed,500000,401,102735,493,493,5265,18,0,0,0,411831,103228,823,206,0
8,2,1244,500000,400,40,30,3,table,500000,276,70656,478,478,4358,20,1295,0,0,283378,71134,566,142,0
8,2,1244,500000,400,40,30,3,threshold,500000,248,63488,478,478,3778,20,42,0,0,254678,63966,509,127,0
9,2,1244,500000,400,40,30,3,fixed,500000,401,102735,493,493,4692,26,0,0,0,411831,103228,823,206,0
9,2,1244,500000,400,40,30,3,table,500000,276,70656,478,478,3633,28,1295,0,0,283378,71134,566,142,0
9,2,1244,500000,400,40,30,3,threshold,500000,248,63488,480,480,3255,28,42,0,0,254680,63968,509,127,0
10,2,1244,500000,400,40,30,3,fixed,500000,401,102735,495,495,4271,20,0,0,0,411833,103230,823,206,0
10,2,1244,500000,400,40,30,3,table,500000,276,70656,482,482,3502,22,1295,0,0,283382,71138,566,142,0
10,2,1244,500000,400,40,30,3,threshold,500000,248,63488,478,478,3445,25,42,0,0,254678,63966,509,127,0
1,2,1555,500000,400,40,30,3,fixed,500000,321,82176,496,496,3604,16,0,0,0,329521,82672,659,165,0
1,2,1555,500000,400,40,30,3,table,500000,276,70656,483,483,3737,19,1295,0,0,283383,71139,566,142,0
1,2,1555,500000,400,40,30,3,threshold,500000,248,63488,494,494,3017,15,42,0,0,254694,63982,509,127,0
2,2,1555,500000,400,40,30,3,fixed,500000,321,82176,483,483,4089,14,0,0,0,329508,82659,659,165,0
2,2,1555,500000,400,40,30,3,table,500000,276,70656,483,483,3094,15,1295,0,0,283383,71139,566,142,0
2,2,1555,500000,400,40,30,3,threshold,500000,248,63488,484,484,3036,15,42,0,0,254684,63972,509,127,0
3,2,1555,500000,400,40,30,3,fixed,500000,321,82176,478,478,4242,24,0,0,0,329503,82654,659,165,0
3,2,1555,500000,400,40,30,3,table,500000,276,70656,475,475,3748,24,1295,0,0,283375,71131,566,142,0
3,2,1555,500000,400,40,30,3,threshold,500000,248,63488,475,475,3409,25,42,0,0,254675,63963,509,127,0
4,2,1555,500000,400,40,30,3,fixed,500000,321,82176,483,483,4745,20,0,0,0,329508,82659,659,165,0
4,2,1555,500000,400,40,30,3,table,500000,276,70656,473,473,4077,19,1295,0,0,283373,71129,566,142,0
4,2,1555,500000,400,40,30,3,threshold,500000,248,63488,480,480,3442,20,42,0,0,254680,63968,509,127,0
5,2,1555,500000,400,40,30,3,fixed,500000,321,82176,492,492,4025,20,0,0,0,329517,82668,659,165,0
5,2,1555,500000,400,40,30,3,table,500000,276,70656,494,494,3176,18,1295,0,0,283394,71150,566,142,0
5,2,1555,500000,400,40,30,3,threshold,500000,248,63488,483,483,3407,22,42,0,0,254683,63971,509,127,0
6,2,1555,500000,400,40,30,3,fixed,500000,321,82176,480,480,5876,25,0,0,0,329505,82656,659,165,0
6,2,1555,500000,400,40,30,3,table,500000,276,70656,489,489,4541,22,1295,0,0,283389,71145,566,142,0
6,2,1555,500000,400,40,30,3,threshold,500000,248,63488,477,477,4371,22,42,0,0,254677,63965,509,127,0
7,2,1555,500000,400,40,30,3,fixed,500000,321,82176,491,491,5184,23,0,0,0,329516,82667,659,165,0
7,2,1555,500000,400,40,30,3,table,500000,276,70656,496,496,4001,22,1295,0,0,283396,71152,566,142,0
7,2,1555,500000,400,40,30,3,threshold,500000,248,63488,488,488,4158,24,42,0,0,254688,63976,509,127,0
8,2,1555,500000,400,40,30,3,fixed,500000,321,82176,481,481,4942,20,0,0,0,329506,82657,659,165,0
8,2,1555,500000,400,40,30,3,table,500000,276,70656,478,478,4358,20,1295,0,0,283378,71134,566,142,0
8,2,1555,500000,400,40,30,3,threshold,500000,248,63488,478,478,3778,20,42,0,0,254678,63966,509,127,0
9,2,1555,500000,400,40,30,3,fixed,500000,321,82176,483,483,4196,28,0,0,0,329508,82659,659,165,0
