strategy,window_start,window_end,window_cycles,scrub_delta,corrected_delta,uncorrectable_detection_delta,read_delta,write_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,read_per_100k_cycles,write_per_100k_cycles,true_total_events,true_single_events,true_paired_events,true_cluster_events,true_shifted_events
table,0,25000,25000,13,22,6,3328,22,88.0,24.0,13312.0,88.0,26,20,6,0,0
table,25000,50000,25000,15,32,15,3840,32,128.0,60.0,15360.0,128.0,31,29,2,0,0
table,50000,75000,25000,14,37,22,3584,37,148.0,88.0,14336.0,148.0,43,29,14,0,0
table,75000,100000,25000,15,45,30,3840,45,180.0,120.0,15360.0,180.0,43,39,4,0,0
table,100000,125000,25000,14,19,28,3584,19,76.0,112.0,14336.0,76.0,24,18,6,0,0
table,125000,150000,25000,14,41,28,3584,41,164.0,112.0,14336.0,164.0,38,34,4,0,0
table,150000,175000,25000,14,30,37,3584,30,120.0,148.0,14336.0,120.0,33,25,8,0,0
table,175000,200000,25000,14,20,56,3584,20,80.0,224.0,14336.0,80.0,21,17,4,0,0
table,200000,225000,25000,14,14,56,3584,14,56.0,224.0,14336.0,56.0,14,12,2,0,0
table,225000,250000,25000,13,15,62,3328,15,60.0,248.0,13312.0,60.0,18,14,4,0,0
table,250000,275000,25000,14,20,54,3584,20,80.0,216.0,14336.0,80.0,18,18,0,0,0
table,275000,300000,25000,13,8,39,3328,8,32.0,156.0,13312.0,32.0,11,11,0,0,0
table,300000,325000,25000,14,20,42,3584,20,80.0,168.0,14336.0,80.0,18,18,0,0,0
table,325000,350000,25000,13,24,39,3328,24,96.0,156.0,13312.0,96.0,24,22,2,0,1
table,350000,375000,25000,14,16,60,3584,16,64.0,240.0,14336.0,64.0,20,16,4,0,0
table,375000,400000,25000,14,23,70,3584,23,92.0,280.0,14336.0,92.0,24,20,4,0,0
table,400000,425000,25000,13,13,55,3328,13,52.0,220.0,13312.0,52.0,12,8,4,0,0
table,425000,450000,25000,14,8,56,3584,8,32.0,224.0,14336.0,32.0,8,6,2,0,0
table,450000,475000,25000,13,12,49,3328,12,48.0,196.0,13312.0,48.0,13,13,0,0,0
table,475000,500000,25000,14,40,52,3584,40,160.0,208.0,14336.0,160.0,41,31,10,0,0
threshold,0,25000,25000,11,22,5,2816,22,88.0,20.0,11264.0,88.0,26,20,6,0,0
threshold,25000,50000,25000,13,32,13,3328,32,128.0,52.0,13312.0,128.0,31,29,2,0,0
threshold,50000,75000,25000,12,38,20,3072,38,152.0,80.0,12288.0,152.0,43,29,14,0,0
threshold,75000,100000,25000,13,44,39,3328,44,176.0,156.0,13312.0,176.0,43,39,4,0,0
threshold,100000,125000,25000,13,20,39,3328,20,80.0,156.0,13312.0,80.0,24,18,6,0,0
threshold,125000,150000,25000,12,38,45,3072,38,152.0,180.0,12288.0,152.0,38,34,4,0,0
threshold,150000,175000,25000,12,32,48,3072,32,128.0,192.0,12288.0,128.0,33,25,8,0,0
threshold,175000,200000,25000,13,24,52,3328,24,96.0,208.0,13312.0,96.0,21,17,4,0,0
threshold,200000,225000,25000,12,14,48,3072,14,56.0,192.0,12288.0,56.0,14,12,2,0,0
threshold,225000,250000,25000,12,15,57,3072,15,60.0,228.0,12288.0,60.0,18,14,4,0,0
threshold,250000,275000,25000,13,20,41,3328,20,80.0,164.0,13312.0,80.0,18,18,0,0,0
threshold,275000,300000,25000,12,10,24,3072,10,40.0,96.0,12288.0,40.0,11,11,0,0,0
threshold,300000,325000,25000,13,19,26,3328,19,76.0,104.0,13312.0,76.0,18,18,0,0,0
threshold,325000,350000,25000,12,24,24,3072,24,96.0,96.0,12288.0,96.0,24,22,2,0,1
threshold,350000,375000,25000,13,20,26,3328,20,80.0,104.0,13312.0,80.0,20,16,4,0,0
threshold,375000,400000,25000,12,23,24,3072,23,92.0,96.0,12288.0,92.0,24,20,4,0,0
threshold,400000,425000,25000,13,13,17,3328,13,52.0,68.0,13312.0,52.0,12,8,4,0,0
threshold,425000,450000,25000,12,8,12,3072,8,32.0,48.0,12288.0,32.0,8,6,2,0,0
threshold,450000,475000,25000,13,13,13,3328,13,52.0,52.0,13312.0,52.0,13,13,0,0,0
threshold,475000,500000,25000,12,41,12,3072,41,164.0,48.0,12288.0,164.0,41,31,10,0,0
