strategy,window_start,window_end,window_cycles,scrub_delta,corrected_delta,uncorrectable_detection_delta,read_delta,write_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,read_per_100k_cycles,write_per_100k_cycles,true_total_events,true_single_events,true_paired_events,true_cluster_events,true_shifted_events
threshold,50000,75000,25000,12,43,44,3072,43,172.0,176.0,12288.0,172.0,48,42,6,0,0
threshold,75000,100000,25000,13,38,61,3328,38,152.0,244.0,13312.0,152.0,37,29,8,0,0
threshold,100000,125000,25000,13,35,64,3328,35,140.0,256.0,13312.0,140.0,38,34,4,0,0
threshold,125000,150000,25000,12,26,48,3072,26,104.0,192.0,12288.0,104.0,24,22,2,0,0
threshold,150000,175000,25000,12,16,48,3072,16,64.0,192.0,12288.0,64.0,18,14,4,0,0
threshold,175000,200000,25000,13,25,53,3328,25,100.0,212.0,13312.0,100.0,25,17,8,0,0
threshold,200000,225000,25000,12,21,60,3072,21,84.0,240.0,12288.0,84.0,21,19,2,0,0
threshold,225000,250000,25000,12,10,49,3072,10,40.0,196.0,12288.0,40.0,10,8,2,0,0
threshold,250000,275000,25000,13,22,49,3328,22,88.0,196.0,13312.0,88.0,21,21,0,0,0
threshold,275000,300000,25000,12,7,36,3072,7,28.0,144.0,12288.0,28.0,9,7,2,0,0
threshold,300000,325000,25000,13,19,45,3328,19,76.0,180.0,13312.0,76.0,21,14,7,0,0
threshold,325000,350000,25000,12,24,51,3072,24,96.0,204.0,12288.0,96.0,25,18,7,0,0
threshold,350000,375000,25000,13,11,54,3328,11,44.0,216.0,13312.0,44.0,10,9,1,0,0
threshold,375000,400000,25000,12,20,48,3072,20,80.0,192.0,12288.0,80.0,20,19,1,0,0
threshold,400000,425000,25000,13,5,52,3328,5,20.0,208.0,13312.0,20.0,5,5,0,0,0
threshold,425000,450000,25000,12,13,54,3072,13,52.0,216.0,12288.0,52.0,15,13,2,0,0
threshold,450000,475000,25000,13,16,77,3328,16,64.0,308.0,13312.0,64.0,18,13,5,0,0
threshold,475000,500000,25000,12,31,72,3072,31,124.0,288.0,12288.0,124.0,36,31,5,0,0
