strategy,window_start,window_end,window_cycles,scrub_delta,corrected_delta,uncorrectable_detection_delta,read_delta,write_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,read_per_100k_cycles,write_per_100k_cycles,true_total_events,true_single_events,true_paired_events,true_cluster_events,true_shifted_events
table,100000,125000,25000,14,24,11,3584,24,96.0,44.0,14336.0,96.0,28,24,4,0,0
table,125000,150000,25000,14,24,31,3584,24,96.0,124.0,14336.0,96.0,26,22,4,0,0
table,150000,175000,25000,14,28,29,3584,28,112.0,116.0,14336.0,112.0,30,24,6,0,0
table,175000,200000,25000,14,21,42,3584,21,84.0,168.0,14336.0,84.0,22,14,8,0,0
table,200000,225000,25000,14,22,42,3584,22,88.0,168.0,14336.0,88.0,21,15,6,0,0
table,225000,250000,25000,13,20,39,3328,20,80.0,156.0,13312.0,80.0,23,19,4,0,0
table,250000,275000,25000,14,14,58,3584,14,56.0,232.0,14336.0,56.0,16,12,4,0,0
table,275000,300000,25000,13,17,65,3328,17,68.0,260.0,13312.0,68.0,16,12,4,0,0
table,300000,325000,25000,14,13,70,3584,13,52.0,280.0,14336.0,52.0,14,12,2,0,0
table,325000,350000,25000,13,22,62,3328,22,88.0,248.0,13312.0,88.0,22,16,6,0,0
table,350000,375000,25000,14,14,56,3584,14,56.0,224.0,14336.0,56.0,13,13,0,0,0
table,375000,400000,25000,14,20,56,3584,20,80.0,224.0,14336.0,80.0,20,16,4,0,0
table,400000,425000,25000,13,7,52,3328,7,28.0,208.0,13312.0,28.0,7,7,0,0,0
table,425000,450000,25000,14,12,56,3584,12,48.0,224.0,14336.0,48.0,12,12,0,0,0
table,450000,475000,25000,13,12,52,3328,12,48.0,208.0,13312.0,48.0,13,13,0,0,0
table,475000,500000,25000,14,34,95,3584,34,136.0,380.0,14336.0,136.0,44,34,10,0,1
threshold,0,25000,25000,11,29,4,2816,29,116.0,16.0,11264.0,116.0,34,31,3,0,0
threshold,25000,50000,25000,13,37,13,3328,37,148.0,52.0,13312.0,148.0,34,29,5,0,0
threshold,50000,75000,25000,12,38,12,3072,38,152.0,48.0,12288.0,152.0,44,39,5,0,0
threshold,75000,100000,25000,13,47,3,3328,47,188.0,12.0,13312.0,188.0,41,36,5,0,0
threshold,100000,125000,25000,13,25,10,3328,25,100.0,40.0,13312.0,100.0,28,24,4,0,0
threshold,125000,150000,25000,12,25,15,3072,25,100.0,60.0,12288.0,100.0,26,22,4,0,0
threshold,150000,175000,25000,12,28,13,3072,28,112.0,52.0,12288.0,112.0,30,24,6,0,0
threshold,175000,200000,25000,13,22,26,3328,22,88.0,104.0,13312.0,88.0,22,14,8,0,0
threshold,200000,225000,25000,12,19,25,3072,19,76.0,100.0,12288.0,76.0,21,15,6,0,0
threshold,225000,250000,25000,12,19,36,3072,19,76.0,144.0,12288.0,76.0,23,19,4,0,0
threshold,250000,275000,25000,13,16,47,3328,16,64.0,188.0,13312.0,64.0,16,12,4,0,0
threshold,275000,300000,25000,12,17,48,3072,17,68.0,192.0,12288.0,68.0,16,12,4,0,0
threshold,300000,325000,25000,13,13,52,3328,13,52.0,208.0,13312.0,52.0,14,12,2,0,0
threshold,325000,350000,25000,12,22,48,3072,22,88.0,192.0,12288.0,88.0,22,16,6,0,0
threshold,350000,375000,25000,13,14,52,3328,14,56.0,208.0,13312.0,56.0,13,13,0,0,0
threshold,375000,400000,25000,12,19,48,3072,19,76.0,192.0,12288.0,76.0,20,16,4,0,0
threshold,400000,425000,25000,13,8,52,3328,8,32.0,208.0,13312.0,32.0,7,7,0,0,0
threshold,425000,450000,25000,12,12,48,3072,12,48.0,192.0,12288.0,48.0,12,12,0,0,0
threshold,450000,475000,25000,13,12,52,3328,12,48.0,208.0,13312.0,48.0,13,13,0,0,0
threshold,475000,500000,25000,12,33,82,3072,33,132.0,328.0,12288.0,132.0,44,34,10,0,1
