scenario,seed,requested_total_cycles,window_size,event_count,paired_event_count,pair_gap_min,pair_gap_max,cluster_event_count,cluster_bit_count,control_quantization,control_source,control_policy_schedule,control_policy_level_map_output,control_delay_points,safe_interval,level_intervals,threshold_levels,threshold_intervals,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
upsets,27,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,516,516,867,5,0,0,0,41596,10628,831,212,0
upsets,27,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,432,6912,478,478,961,4,1347,0,0,28558,7390,571,147,0
upsets,27,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,409,6544,468,468,997,5,788,0,0,27053,7012,541,140,0
upsets,28,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,478,478,1583,4,0,0,0,41558,10590,831,211,0
upsets,28,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,432,6912,440,440,1237,2,1347,0,0,28520,7352,570,147,0
upsets,28,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,409,6544,455,455,1156,3,788,0,0,27040,6999,540,139,0
upsets,29,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,495,495,1441,4,0,0,0,41575,10607,831,212,0
upsets,29,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,432,6912,473,473,1072,4,1347,0,0,28553,7385,571,147,0
upsets,29,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,409,6544,444,444,1247,6,788,0,0,27029,6988,540,139,0
upsets,30,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,520,520,869,5,0,0,0,41600,10632,832,212,0
upsets,30,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,432,6912,504,504,626,4,1347,0,0,28584,7416,571,148,0
upsets,30,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,409,6544,472,472,847,5,788,0,0,27057,7016,541,140,0
