seed,fixed_interval,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,memory_busy_cycles,busy_percent
20,300,fixed,50000,167,2672,341,341,784,5,0,3013,6.000000
21,60,fixed,50000,749,11985,504,504,1214,4,0,12489,24.900000
21,,table,50000,246,3936,413,413,708,5,1295,4349,8.600000
21,,threshold,50000,284,4544,433,433,945,5,776,4977,9.900000
21,70,fixed,50000,723,11576,490,490,1149,4,0,12066,24.100000
21,80,fixed,50000,632,10112,484,484,1189,4,0,10596,21.100000
21,100,fixed,50000,504,8065,470,470,914,5,0,8535,17.000000
21,120,fixed,50000,419,6709,460,460,1174,6,0,7169,14.300000
21,150,fixed,50000,335,5360,428,428,902,5,0,5788,11.500000
21,200,fixed,50000,250,4013,390,390,894,5,0,4403,8.800000
21,240,fixed,50000,208,3340,361,361,757,6,0,3701,7.400000
21,300,fixed,50000,166,2672,306,306,908,4,0,2978,5.900000
22,60,fixed,50000,748,11983,512,512,1508,4,0,12495,24.900000
22,,table,50000,246,3936,416,416,896,5,1295,4352,8.700000
22,,threshold,50000,284,4544,430,430,936,3,776,4974,9.900000
22,70,fixed,50000,723,11576,514,514,1435,4,0,12090,24.100000
22,80,fixed,50000,632,10112,514,514,1085,4,0,10626,21.200000
22,100,fixed,50000,504,8065,512,512,796,4,0,8577,17.100000
22,120,fixed,50000,419,6709,493,493,862,4,0,7202,14.400000
22,150,fixed,50000,335,5360,444,444,1170,5,0,5804,11.600000
22,200,fixed,50000,250,4013,426,426,823,7,0,4439,8.800000
22,240,fixed,50000,208,3340,386,386,849,6,0,3726,7.400000
22,300,fixed,50000,167,2672,356,356,730,6,0,3028,6.000000
23,60,fixed,50000,749,11986,500,500,1056,6,0,12486,24.900000
23,,table,50000,246,3936,405,405,819,6,1295,4341,8.600000
23,,threshold,50000,284,4544,414,414,924,7,776,4958,9.900000
23,70,fixed,50000,723,11575,503,503,1160,3,0,12078,24.100000
23,80,fixed,50000,632,10112,490,490,1111,5,0,10602,21.200000
23,100,fixed,50000,504,8065,480,480,995,7,0,8545,17.000000
23,120,fixed,50000,419,6709,467,467,826,6,0,7176,14.300000
