strategy,window_start,window_end,window_cycles,scrub_delta,corrected_delta,uncorrectable_detection_delta,read_delta,write_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,read_per_100k_cycles,write_per_100k_cycles,true_total_events,true_single_events,true_paired_events,true_cluster_events,true_shifted_events
threshold,250000,275000,25000,13,18,65,3328,18,72.0,260.0,13312.0,72.0,21,17,4,0,0
threshold,275000,300000,25000,12,8,60,3072,8,32.0,240.0,12288.0,32.0,7,7,0,0,0
threshold,300000,325000,25000,13,16,65,3328,16,64.0,260.0,13312.0,64.0,15,11,4,0,0
threshold,325000,350000,25000,12,27,60,3072,27,108.0,240.0,12288.0,108.0,27,23,4,0,0
threshold,350000,375000,25000,13,9,65,3328,9,36.0,260.0,13312.0,36.0,12,8,4,0,0
threshold,375000,400000,25000,12,21,49,3072,21,84.0,196.0,12288.0,84.0,19,17,2,0,0
threshold,400000,425000,25000,13,5,52,3328,5,20.0,208.0,13312.0,20.0,5,3,2,0,0
threshold,425000,450000,25000,12,9,48,3072,9,36.0,192.0,12288.0,36.0,9,5,4,0,0
threshold,450000,475000,25000,13,17,52,3328,17,68.0,208.0,13312.0,68.0,17,15,2,0,0
threshold,475000,500000,25000,12,30,48,3072,30,120.0,192.0,12288.0,120.0,30,30,0,0,0
