strategy,window_start,window_end,window_cycles,scrub_delta,corrected_delta,uncorrectable_detection_delta,read_delta,write_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,read_per_100k_cycles,write_per_100k_cycles,true_total_events,true_single_events,true_paired_events,true_cluster_events,true_shifted_events
table,25000,50000,25000,15,40,25,3840,40,160.0,100.0,15360.0,160.0,42,36,6,0,0
table,50000,75000,25000,14,49,34,3584,49,196.0,136.0,14336.0,196.0,53,49,4,0,0
table,75000,100000,25000,15,37,40,3840,37,148.0,160.0,15360.0,148.0,41,37,4,0,0
table,100000,125000,25000,14,23,42,3584,23,92.0,168.0,14336.0,92.0,24,24,0,0,0
table,125000,150000,25000,14,30,50,3584,30,120.0,200.0,14336.0,120.0,33,27,6,0,0
table,150000,175000,25000,14,24,65,3584,24,96.0,260.0,14336.0,96.0,27,19,8,0,0
table,175000,200000,25000,14,21,66,3584,21,84.0,264.0,14336.0,84.0,19,17,2,0,0
table,200000,225000,25000,14,18,60,3584,18,72.0,240.0,14336.0,72.0,21,14,7,0,0
table,225000,250000,25000,13,20,65,3328,20,80.0,260.0,13312.0,80.0,20,17,3,0,0
table,250000,275000,25000,14,15,70,3584,15,60.0,280.0,14336.0,60.0,14,10,4,0,0
table,275000,300000,25000,13,7,65,3328,7,28.0,260.0,13312.0,28.0,8,4,4,0,0
table,300000,325000,25000,14,16,70,3584,16,64.0,280.0,14336.0,64.0,15,13,2,0,0
table,325000,350000,25000,13,14,65,3328,14,56.0,260.0,13312.0,56.0,14,12,2,0,0
table,350000,375000,25000,14,21,70,3584,21,84.0,280.0,14336.0,84.0,23,19,4,0,0
table,375000,400000,25000,14,24,77,3584,24,96.0,308.0,14336.0,96.0,27,19,8,0,0
table,400000,425000,25000,13,12,78,3328,12,48.0,312.0,13312.0,48.0,13,13,0,0,0
table,425000,450000,25000,14,15,83,3584,15,60.0,332.0,14336.0,60.0,16,15,1,0,0
table,450000,475000,25000,13,14,65,3328,14,56.0,260.0,13312.0,56.0,12,7,5,0,0
table,475000,500000,25000,14,28,82,3584,28,112.0,328.0,14336.0,112.0,32,28,4,0,0
threshold,0,25000,25000,11,25,0,2816,25,100.0,0.0,11264.0,100.0,26,20,6,0,0
threshold,25000,50000,25000,13,42,0,3328,42,168.0,0.0,13312.0,168.0,42,36,6,0,0
threshold,50000,75000,25000,12,51,4,3072,51,204.0,16.0,12288.0,204.0,53,49,4,0,0
threshold,75000,100000,25000,13,38,13,3328,38,152.0,52.0,13312.0,152.0,41,37,4,0,0
threshold,100000,125000,25000,13,25,13,3328,25,100.0,52.0,13312.0,100.0,24,24,0,0,0
threshold,125000,150000,25000,12,31,22,3072,31,124.0,88.0,12288.0,124.0,33,27,6,0,0
threshold,150000,175000,25000,12,24,32,3072,24,96.0,128.0,12288.0,96.0,27,19,8,0,0
threshold,175000,200000,25000,13,21,36,3328,21,84.0,144.0,13312.0,84.0,19,17,2,0,0
threshold,200000,225000,25000,12,20,24,3072,20,80.0,96.0,12288.0,80.0,21,14,7,0,0
threshold,225000,250000,25000,12,20,24,3072,20,80.0,96.0,12288.0,80.0,20,17,3,0,0
threshold,250000,275000,25000,13,15,26,3328,15,60.0,104.0,13312.0,60.0,14,10,4,0,0
threshold,275000,300000,25000,12,5,33,3072,5,20.0,132.0,12288.0,20.0,8,4,4,0,0
threshold,300000,325000,25000,13,16,39,3328,16,64.0,156.0,13312.0,64.0,15,13,2,0,0
threshold,325000,350000,25000,12,14,36,3072,14,56.0,144.0,12288.0,56.0,14,12,2,0,0
threshold,350000,375000,25000,13,21,39,3328,21,84.0,156.0,13312.0,84.0,23,19,4,0,0
threshold,375000,400000,25000,12,24,44,3072,24,96.0,176.0,12288.0,96.0,27,19,8,0,0
threshold,400000,425000,25000,13,15,52,3328,15,60.0,208.0,13312.0,60.0,13,13,0,0,0
threshold,425000,450000,25000,12,13,48,3072,13,52.0,192.0,12288.0,52.0,16,15,1,0,0
threshold,450000,475000,25000,13,13,48,3328,13,52.0,192.0,13312.0,52.0,12,7,5,0,0
threshold,475000,500000,25000,12,27,58,3072,27,108.0,232.0,12288.0,108.0,32,28,4,0,0
