seed,pair_id,first_cycle,second_cycle,gap_actual,gap_preferred,first_shift,second_shift,first_address,second_address,same_address,first_level,second_level,max_level,first_aggressive,second_aggressive,any_aggressive
4,29,280610,281436,826,826,0,0,205,205,1,0,0,0,0,0,0
4,30,52770,55546,2776,2776,0,0,96,96,1,2,2,2,0,0,0
4,31,15434,18397,2963,2963,0,0,7,7,1,2,1,2,0,0,0
4,32,130680,132429,1749,1749,0,0,13,13,1,1,1,1,0,0,0
4,33,18749,21422,2673,2673,0,0,98,98,1,1,2,2,0,0,0
4,34,25722,28359,2637,2637,0,0,236,236,1,2,2,2,0,0,0
4,35,183304,185677,2373,2373,0,0,140,140,1,1,1,1,0,0,0
4,36,397215,398084,869,869,0,0,64,64,1,0,0,0,0,0,0
4,37,486325,488448,2123,2123,0,0,91,91,1,6,0,6,1,0,1
4,38,76149,77803,1654,1654,0,0,10,10,1,2,2,2,0,0,0
4,39,65640,68313,2673,2673,0,0,221,221,1,2,2,2,0,0,0
5,0,382389,384872,2483,2483,0,0,177,177,1,3,0,3,0,0,0
5,1,207724,210414,2690,2690,0,0,211,211,1,1,0,1,0,0,0
5,2,40743,43089,2346,2346,0,0,224,224,1,1,2,2,0,0,0
5,3,365022,366875,1853,1853,0,0,55,55,1,0,0,0,0,0,0
5,4,46645,49071,2426,2426,0,0,21,21,1,2,2,2,0,0,0
5,5,23310,24105,795,795,0,0,150,150,1,2,2,2,0,0,0
5,6,12032,13582,1550,1550,0,0,151,151,1,2,1,2,0,0,0
5,7,301224,303986,2762,2762,0,0,202,202,1,0,0,0,0,0,0
5,8,112317,113643,1326,1326,0,0,45,45,1,2,1,2,0,0,0
5,9,113915,115634,1719,1719,0,0,59,59,1,1,1,1,0,0,0
5,10,496408,498848,2440,2440,0,0,74,74,1,0,0,0,0,0,0
5,11,82376,84439,2063,2063,0,0,210,210,1,5,2,5,0,0,0
5,12,76953,78845,1892,1892,0,0,79,79,1,2,2,2,0,0,0
5,13,39116,41577,2461,2461,0,0,18,18,1,2,1,2,0,0,0
5,14,299205,300803,1598,1598,0,0,13,13,1,0,0,0,0,0,0
5,15,32989,34844,1855,1855,0,0,177,177,1,2,1,2,0,0,0
5,16,61849,62635,786,786,0,0,139,139,1,2,2,2,0,0,0
5,17,15690,17129,1439,1439,0,0,169,169,1,2,1,2,0,0,0
5,18,146631,148738,2107,2107,0,0,62,62,1,1,1,1,0,0,0
5,19,39454,41331,1877,1877,0,0,56,56,1,2,1,2,0,0,0
5,20,76866,78847,1981,1981,0,0,138,138,1,2,2,2,0,0,0
5,21,55604,57806,2202,2202,0,0,5,5,1,2,2,2,0,0,0
5,22,405393,406944,1551,1551,0,0,111,111,1,0,0,0,0,0,0
5,23,82443,83440,997,997,0,0,133,133,1,5,2,5,0,0,0
5,24,39636,40839,1203,1203,0,0,126,126,1,1,1,1,0,0,0
5,25,486338,487925,1587,1587,0,0,3,3,1,6,0,6,1,0,1
5,26,180442,182361,1919,1919,0,0,162,162,1,1,1,1,0,0,0
5,27,84065,87056,2991,2991,0,0,4,4,1,2,1,2,0,0,0
5,28,465883,467417,1534,1534,0,0,154,154,1,0,0,0,0,0,0
5,29,64187,65757,1570,1570,0,0,111,111,1,2,2,2,0,0,0
5,30,343455,344900,1445,1445,0,0,60,60,1,6,0,6,1,0,1
5,31,68359,70954,2595,2595,0,0,156,156,1,2,2,2,0,0,0
5,32,221325,222689,1364,1364,0,0,48,48,1,0,0,0,0,0,0
5,33,486240,488786,2546,2546,0,0,154,154,1,6,0,6,1,0,1
5,34,231561,232837,1276,1276,0,0,159,159,1,0,0,0,0,0,0
5,35,406601,409127,2526,2526,0,0,172,172,1,0,0,0,0,0,0
5,36,194777,197204,2427,2427,0,0,99,99,1,1,1,1,0,0,0
5,37,57282,59924,2642,2642,0,0,15,15,1,2,2,2,0,0,0
5,38,82367,83628,1261,1261,0,0,40,40,1,6,2,6,1,0,1
5,39,243907,244968,1061,1061,0,0,117,117,1,1,1,1,0,0,0
6,0,127258,129328,2070,2070,0,0,179,179,1,1,1,1,0,0,0
6,1,243179,243891,712,712,0,0,124,124,1,1,1,1,0,0,0
6,2,486342,489109,2767,2767,0,0,212,212,1,6,0,6,1,0,1
6,3,61827,64489,2662,2662,0,0,13,13,1,2,2,2,0,0,0
6,4,91258,93864,2606,2606,0,0,79,79,1,2,1,2,0,0,0
6,5,486217,487382,1165,1165,0,0,172,172,1,6,0,6,1,0,1
6,6,190804,193470,2666,2666,0,0,233,233,1,1,1,1,0,0,0
6,7,151092,153392,2300,2300,0,0,100,100,1,1,1,1,0,0,0
6,8,311187,313177,1990,1990,0,0,0,0,1,1,0,1,0,0,0
6,9,376818,378754,1936,1936,0,0,49,49,1,0,0,0,0,0,0
6,10,322545,324833,2288,2288,0,0,149,149,1,3,0,3,0,0,0
6,11,102418,103347,929,929,0,0,61,61,1,1,1,1,0,0,0
6,12,108208,108966,758,758,0,0,234,234,1,1,1,1,0,0,0
6,13,74476,76762,2286,2286,0,0,139,139,1,2,2,2,0,0,0
6,14,54210,56395,2185,2185,0,0,69,69,1,2,2,2,0,0,0
6,15,461462,462115,653,653,0,0,48,48,1,0,0,0,0,0,0
6,16,486223,489035,2812,2812,0,0,5,5,1,6,0,6,1,0,1
6,17,51657,52667,1010,1010,0,0,62,62,1,2,2,2,0,0,0
6,18,128629,130949,2320,2320,0,0,195,195,1,1,1,1,0,0,0
6,19,486330,488532,2202,2202,0,0,46,46,1,6,0,6,1,0,1
6,20,19552,21531,1979,1979,0,0,183,183,1,1,1,1,0,0,0
6,21,361757,364170,2413,2413,0,0,100,100,1,0,0,0,0,0,0
6,22,99924,100814,890,890,0,0,99,99,1,1,1,1,0,0,0
6,23,218013,219871,1858,1858,0,0,210,210,1,1,2,2,0,0,0
6,24,165478,167992,2514,2514,0,0,250,250,1,1,1,1,0,0,0
6,25,378180,379824,1644,1644,0,0,20,20,1,0,0,0,0,0,0
6,26,147252,148999,1747,1747,0,0,50,50,1,1,1,1,0,0,0
6,27,17377,19242,1865,1865,0,0,55,55,1,2,1,2,0,0,0
6,28,117320,118888,1568,1568,0,0,251,251,1,1,1,1,0,0,0
6,29,200614,202621,2007,2007,0,0,81,81,1,1,1,1,0,0,0
6,30,112740,114996,2256,2256,0,0,187,187,1,2,1,2,0,0,0
6,31,18507,19622,1115,1115,0,0,90,90,1,1,1,1,0,0,0
6,32,183176,184628,1452,1452,0,0,120,120,1,1,1,1,0,0,0
6,33,97138,98296,1158,1158,0,0,136,136,1,1,1,1,0,0,0
6,34,50464,53351,2887,2887,0,0,2,2,1,2,2,2,0,0,0
6,35,59885,62528,2643,2643,0,0,44,44,1,2,2,2,0,0,0
6,36,67149,68769,1620,1620,0,0,130,130,1,2,2,2,0,0,0
6,37,116826,118155,1329,1329,0,0,195,195,1,1,1,1,0,0,0
6,38,438916,440424,1508,1508,0,0,28,28,1,0,0,0,0,0,0
6,39,446862,447491,629,629,0,0,179,179,1,0,0,0,0,0,0
7,0,129159,131163,2004,2004,0,0,107,107,1,1,1,1,0,0,0
7,1,343522,346226,2704,2704,0,0,182,182,1,4,0,4,0,0,0
7,2,118359,120082,1723,1723,0,0,6,6,1,1,1,1,0,0,0
7,3,246016,248338,2322,2322,0,0,180,180,1,1,1,1,0,0,0
7,4,69066,70113,1047,1047,0,0,112,112,1,2,2,2,0,0,0
7,5,52597,54065,1468,1468,0,0,98,98,1,2,2,2,0,0,0
7,6,377991,379516,1525,1525,0,0,180,180,1,0,0,0,0,0,0
7,7,343474,345279,1805,1805,0,0,64,64,1,5,0,5,0,0,0
7,8,80156,81699,1543,1543,0,0,129,129,1,2,2,2,0,0,0
7,9,985,3557,2572,2572,0,0,183,183,1,1,2,2,0,0,0
7,10,157009,158921,1912,1912,0,0,43,43,1,1,1,1,0,0,0
7,11,409809,411650,1841,1841,0,0,43,43,1,0,0,0,0,0,0
7,12,185496,186671,1175,1175,0,0,7,7,1,1,1,1,0,0,0
7,13,262736,263630,894,894,0,0,51,51,1,0,0,0,0,0,0
7,14,58867,60423,1556,1556,0,0,177,177,1,2,1,2,0,0,0
7,15,370141,372389,2248,2248,0,0,46,46,1,0,0,0,0,0,0
7,16,164673,166081,1408,1408,0,0,40,40,1,1,1,1,0,0,0
7,17,39128,42001,2873,2873,0,0,119,119,1,2,1,2,0,0,0
7,18,200137,202756,2619,2619,0,0,239,239,1,1,1,1,0,0,0
7,19,166743,168352,1609,1609,0,0,3,3,1,1,1,1,0,0,0
7,20,303721,306237,2516,2516,0,0,151,151,1,0,0,0,0,0,0
7,21,132711,135055,2344,2344,0,0,38,38,1,1,1,1,0,0,0
7,22,7404,8120,716,716,0,0,169,169,1,2,1,2,0,0,0
7,23,159526,162109,2583,2583,0,0,17,17,1,1,1,1,0,0,0
7,24,102385,103504,1119,1119,0,0,187,187,1,1,1,1,0,0,0
7,25,198273,201025,2752,2752,0,0,145,145,1,1,1,1,0,0,0
7,26,76077,78407,2330,2330,0,0,148,148,1,2,2,2,0,0,0
7,27,126434,129056,2622,2622,0,0,139,139,1,1,1,1,0,0,0
